"Property Name",,"vi-VN","Node Path","Description"
"Value","the '{0}' type is not descendant of '{1}'","kiểu '{0}' không phải là hậu duệ của '{1}'","Localization\Exceptions\SystemExceptions\TheTypeIsNotDescendantOf",
"Value","The value was locked","Giá trị đã bị khóa","Localization\Exceptions\SystemExceptions\TheValueWasLocked",
"Value","The '{0}' type doesn't contain the '{1}' member","Kiểu '{0}' không chứa thành viên '{1}'","Localization\Exceptions\SystemExceptions\TypeDoesNotContainTheMember",
"Value","The '{0}' type isn't a enum type","Kiểu '{0}' không phải là một kiểu liệt kê","Localization\Exceptions\SystemExceptions\TypeIsNotAEnum",
"Value","Unable to assign a disabled item. Action: {0}. Item: {1}. Disable reasons: {2}","Không thể gán một mục bị vô hiệu hóa. Hành động: {0}. Mục: {1}. Các lý do vô hiệu hóa: {2}","Localization\Exceptions\SystemExceptions\UnableToAssignDisabledActionItem",
"Value","Unable to assign an invisible item. Action: {0}. Item: {1}. Invisible reasons: {2}","Không thể gán một mục không hoạt động. Hành động: {0}. Mục: {1}. Các lý do không hoạt động: {2}","Localization\Exceptions\SystemExceptions\UnableToAssignInvisibleActionItem",
"Value","Unable to cast object of type '{0}' to type '{1}'","Không thể chuyển đổi tượng của kiểu '{0}' sang kiểu '{1}'","Localization\Exceptions\SystemExceptions\UnableToCast",
"Value","Unable to change children of '{0}' node due it is locked.","Không thể thay đổi con của nút '{0}' khi nó bị khóa.","Localization\Exceptions\SystemExceptions\UnableToChangeChildrenOfNodeDueItIsLocked",
"Value","Unable to change connection string. Already connected","Không thể thay đổi chuỗi kết nối. Đã được kết nối","Localization\Exceptions\SystemExceptions\UnableToChangeConnectionString",
"Value","Unable to change value of '{0}' attribute due it is locked","Không thể thay đổi giá trị của thuộc tính '{0}' khi nó bị khóa","Localization\Exceptions\SystemExceptions\UnableToChangeValueOfAttributeDueItIsLocked",
"Value","Unable to create ObjectSpace. A dataLayer is null or connectionString is empty","Không thể tạo ObjectSpace. Một dataLayer là null hoặc connectionString là rỗng","Localization\Exceptions\SystemExceptions\UnableToCreateObjectSpace",
"Value","Unable to create UpdatingSession. The dataLayer.AutoCreateOption is {0}","Không thể tạo UpdatingSession. dataLayer.AutoCreateOption là {0}","Localization\Exceptions\SystemExceptions\UnableToCreateUpdateSessionAutoCreateOption",
"Value","Unable to create UpdatingSession. A dataLayer is null or connectionString is empty","Không thể tạo UpdatingSession. Một dataLayer là null hoặc connectionString là rỗng","Localization\Exceptions\SystemExceptions\UnableToCreateUpdateSessionDataLayerIsNull",
"Value","Unable to create UpdatingReadOnlySession. The dataLayer.AutoCreateOption is {0}","Không thể tạo UpdatingReadOnlySession. dataLayer.AutoCreateOption là {0}","Localization\Exceptions\SystemExceptions\UnableToCreateUpdatingReadonlySessionAutoCreateOption",
"Value","Unable to execute disabled or inactive action {2}. Disable reasons: {0}, inactive reasons: {1}","Không thể thực thi hành động đã vô hiệu hóa hoặc không hoạt động {2}. Các lý do vô hiệu hóa: {0}, Các lý do không hoạt động: {1}","Localization\Exceptions\SystemExceptions\UnableToExecuteDisabledOrInactiveAction",
"Value","Unable to find a detail view for the '{0}' object type","Không thể tìm thấy một detail view cho kiểu đối tượng '{0}'","Localization\Exceptions\SystemExceptions\UnableToFindADetailViewForType",
"Value","Unable to find a list view for the '{0}' object type","Không thể tìm thấy một list view cho kiểu đối tượng '{0}'","Localization\Exceptions\SystemExceptions\UnableToFindAListViewForType",
"Value","Unable to find property '{0}' in type '{1}'","Không thể tìm thấy thuộc tính '{0}' trong kiểu '{1}'","Localization\Exceptions\SystemExceptions\UnableToFindPropertyInType",
"Value","Unable to find type '{0}'","Không thể tìm thấy kiểu '{0}'","Localization\Exceptions\SystemExceptions\UnableToFindType",
"Value","Unable to initialize the {0} property in the {1} object, because this property is readonly, or the {2} type doesn't have a default constructor, or you don't have permissions to create it","Không thể khởi tạo thuộc tính {0} trong đối tượng {1}, bởi vì thuộc tính này là chỉ đọc, hoặc kiểu {2} không có một cấu trúc mặc định, hoặc bạn không có quyền tạo nó","Localization\Exceptions\SystemExceptions\UnableToInitializeFileDataProperty",
"Value","Unable to set the readonly property '{0}'","Không thể thiết lập thuộc tính chỉ đọc '{0}'","Localization\Exceptions\SystemExceptions\UnableToSetReadOnlyProperty",
"Value","Unknown exception occurs. Cannot retrieve the exception details","Không rõ ngoại lệ xảy ra. Không thể nhận các chi tiết của ngoại lệ","Localization\Exceptions\SystemExceptions\UnknownException",
"Value","Unknown value: '{0}'","Không rõ giá trị: '{0}'","Localization\Exceptions\SystemExceptions\UnknownValue",
"Value","Unknown view node name: '{0}'\r\nAllowed names: '{1}', '{2}'","Không hiểu tên của nút view: '{0}'\r\nCác tên được phép: '{1}', '{2}'","Localization\Exceptions\SystemExceptions\UnknownViewNodeName",
"Value","The {0} collection property of the {1} class does not have an associated member in the target object class {2}","The {0} collection property of the {1} class does not have an associated member in the target object class {2}","Localization\Exceptions\SystemExceptions\ValidationCannotFindTheAssociatedMemberInTargetClassForCollectionProperty",
"Value","Cannot check the '{0}' validation rule that is using the '{1}' property because this property doesn't exist in the target '{2}' class","Không thể kiểm tra được quy ước kiểm tra hợp lệ '{0}' cái sử dụng dụng thuộc tính '{1}' bởi vì thuộc tính này không tồn tại trong lớp đích '{2}'","Localization\Exceptions\SystemExceptions\ValidationCannotFindThePropertyWithinTheClass",
"Value","Validation message template has an invalid format: '{0}'","Mẫu thông báo kiểm tra hợp lệ có định dạng không hợp lệ: '{0}'","Localization\Exceptions\SystemExceptions\ValidationMessageTemplateHasInvalidFormat",
"Value","The '{1}' value cannot be stored into the '{0}' property","Giá trị '{1}' không thể lưu trong thuộc tính '{0}'","Localization\Exceptions\SystemExceptions\ValueCannotBeStoredIntoTheProperty",
"Value","The window was not found by id '{0}'. Registered windows: '{1}'","Không tìm thấy cửa sổ với id '{0}'. Các cửa sổ đã đăng ký: '{1}'","Localization\Exceptions\SystemExceptions\WindowWasNotFound",
"Value","The XPDictionary is null","XPDictionary là null","Localization\Exceptions\SystemExceptions\XPDictionaryIsNull",
"Value","You cannot change the current aspect. It depends on the culture of the current thread","Bạn không thể thay đổi thành phần hiện thời. Nó phụ thuộc vào văn hóa của thread hiện thời","Localization\Exceptions\SystemExceptions\YouCannotChangeCurrentAspect",
"Value","Cannot register the '{0}' Action in the '{1}' Action Container. The '{0}' Action is not of the '{2}' Type.","Không thể đăng ký Hành động '{0}' trong Action Container '{1}'. Hành động '{0}' không phải là Kiểu '{2}'.","Localization\Exceptions\UserVisibleExceptions\ActionIsNotSingleChoiceAction",
"Value","The update has been successfully completed. However, the database version is still greater than the application version. Please contact your system administrator.","Việc cập nhật đã hoàn thành. Tuy nhiên, phiên bản cơ sở dữ liệu vẫn lớn hơn phiên bản ứng dụng. Hãy liên hệ với quản trị hệ thống.","Localization\Exceptions\UserVisibleExceptions\ApplicationUpdateError",
"Value","This operation cannot be completed, because it leads to a circular reference.","Hoạt động này không thể được hoàn thành, bởi vì nó dẫn đến một tham chiếu vòng tròn.","Localization\Exceptions\UserVisibleExceptions\CircularReference",
"Value","Please specify the object type for which you want to construct a criterion.","Hãy chỉ rõ kiểu đối tượng mà bạn muốn xây dựng một biểu thức lọc (tìm kiếm).","Localization\Exceptions\UserVisibleExceptions\CriteriaEditorsDataTypeIsNull",
"Value","The length of this field value cannot exceed {0}","Độ dài của giá trị trường này không thể vượt quá {0}","Localization\Exceptions\UserVisibleExceptions\FieldValueSizeExceedsMaxLength",
"Value","After three unsuccessful login attempts, the application will now be closed. Please consider contacting an administrator about your login details.","Sau ba lần đăng nhập không thành công, ứng dụng sẽ được đóng lại. Vui lòng liên hệ với một quản trị viên về các chi tiết đăng nhập của bạn.","Localization\Exceptions\UserVisibleExceptions\LogonAttemptsAmountedToLimitWin",
"Value","Input missing symbols","Nhập các ký tự đặc biệt lỗi","Localization\Exceptions\UserVisibleExceptions\MaskValidationErrorMessage",
"Value",,"Cảnh báo","Localization\Exceptions\UserVisibleExceptions\MessageWarningTitle",
"Value","The 'Object Type' field must not be empty and at least one access field must have a value that differs from None.","Trường 'Object Type' không được trống và ít nhất một trường truy cập phải có giá trị khác None.","Localization\Exceptions\UserVisibleExceptions\ObjectAccessPermissionCannotBeEmpty",
"Value","The object you are trying to save was changed by another user. Please refresh data.","Đối tượng bạn đang cố lưu đã bị thay đổi bởi một người khác. Hãy làm mới dữ liệu.","Localization\Exceptions\UserVisibleExceptions\ObjectToSaveWasChanged",
"Value","Data is displayed in read-only mode because it has been deleted.","Dữ liệu được hiển thị trong chế độ chỉ đọc bởi vì nó đã bị xóa.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectHasBeenDeleted",
"Value","Requested object is not found and cannot be processed.","Không tìm thấy đối tượng được yêu cầu và không thể xử lý.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectIsNotFound",
"Value","Warning: simultaneous modifications of the same information in different windows/views are detected:\n
{0}\n
It will be possible to save modifications in one window/view only.","Warning: simultaneous modifications of the same information in different windows/views are detected:\n
{0}\n
It will be possible to save modifications in one window/view only.","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessage",
"Value"," - '{0}' window/view ({1}), '{2}' object ({3})"," - '{0}' window/view ({1}), '{2}' object ({3})","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessageItem",
"Value","An error with number {0} has occurred.\r\nError message: {1}","Đã xảy ra lỗi số {0}.\r\nThông báo lỗi: {1}","Localization\Exceptions\UserVisibleExceptions\SystemExceptionMessageFormat",
"Value","The following error occurred:","Lỗi sau đã xảy ra:","Localization\Exceptions\UserVisibleExceptions\TheFollowingErrorOccurred",
"Value","The connection to the database failed. Please contact your system administrator.","Kết nối tới cơ sở dữ liệu thất bại. Hãy liên hệ với quản trị hệ thống.","Localization\Exceptions\UserVisibleExceptions\UserFriendlyConnectionFailedException",
"Value","An error has occurred connecting to the database. Please contact your system administrator.","Một lỗi xảy ra khi kết nối tới cơ sở dữ liệu. Hãy liên hệ với quản trị hệ thống.","Localization\Exceptions\UserVisibleExceptions\UserFriendlySqlException",
"Value","User: {0}","Người dùng: {0}","Localization\Messages\User",
"Value","Error","Error","Localization\Texts\Error",
"Value","N/A","N/A","Localization\Texts\NullValueText",
"Value","Warning","Warning","Localization\Texts\Warning",
"Caption","About","Thông tin về","Views\AboutInfo_DetailView",
"Text","{0:ProductName}<br>{0:Version}<br>{0:Copyright}<br>{0:Description}","{0:ProductName}<br>{0:Version}<br><br>{0:Copyright}<br><br>{0:Description}","Views\AboutInfo_DetailView\Items\AboutText",
"Caption","About...","About...","ActionDesign\Actions\About Info",
"Caption","Choose Skin","Chọn Skin","ActionDesign\Actions\ChooseSkin",
"Caption","Close","Đóng","ActionDesign\Actions\Close",
"Caption","Edit Model","Sửa Model","ActionDesign\Actions\EditModel",
"Caption","Exit","Thoát","ActionDesign\Actions\Exit",
"Caption","Copy Cell Value","Sao chép giá trị ô","ActionDesign\Actions\CopyCellValue",
"Caption","Clear","Xóa trắng","ActionDesign\Actions\Clear",
"Caption","Open Record","Mở đối tượng","ActionDesign\Actions\OpenObject",
"ToolTip","Open the record associated with the focused editor","Mở đối tượng liên kết tại vị trí con trở","ActionDesign\Actions\OpenObject",
"Caption","Show Toolbar","Show Toolbar","ActionDesign\Actions\ShowToolbar",
"Caption","Export Analysis to","Export Analysis to","ActionDesign\Actions\ExportAnalysis",
"Caption","Export to","Xuất sang","ActionDesign\Actions\Export",
"Caption","Page Setup...","Page Setup...","ActionDesign\Actions\PageSetup",
"ToolTip","Page Setup","Page Setup","ActionDesign\Actions\PageSetup",
"Caption","Print...","Print...","ActionDesign\Actions\Print",
"ToolTip","Print Dialog","Print Dialog","ActionDesign\Actions\Print",
"Caption","Print Preview...","Print Preview...","ActionDesign\Actions\PrintPreview",
"ToolTip","Print Preview","Print Preview","ActionDesign\Actions\PrintPreview",
"Value","Filter Builder","Xây dựng Bộ lọc","Localization\Captions\FilterBuilder",
"Value","Object Model","Mô hình đối tượng","Localization\Captions\ObjectModel",
"Value","Do you want to cancel your changes?","Bạn có muốn hủy các thay đổi của bạn?","Localization\Confirmations\Cancel",
"Value","Closing this window causes an error. Do you want to close the window anyway?\r\nWarning: if you click 'Yes', all changes will be lost.","Việc đóng cửa sổ này gay ra một lỗi. Bạn có muốn đóng cửa sổ này?\r\nCảnh báo: Nếu bạn chọn 'Có', tất cả thay đối sẽ bị mất.","Localization\Confirmations\ConfirmForcedCloseWindow",
"Value","Do you want to save changes?","Bạn có muốn lưu các thay đổi?","Localization\Confirmations\Save",
"Value","Find Text:","Find Text:","Localization\Controls\LargeStringEditFindForm\FindLabelText",
"Value","Find","Find","Localization\Controls\LargeStringEditFindForm\FindMenuItemText",
"Value","Find Next","Find Next","Localization\Controls\LargeStringEditFindForm\FindNextButtonText",
"Value","Find","Find","Localization\Controls\LargeStringEditFindForm\FormText",
"Value","Auto Hide","Tự động Ẩn","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\AutoHide",
"Value","Hidden","Ẩn","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Hidden",
"Value","Visible","Hiện","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Visible",
"Value","Main Menu","Thực đơn chính","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_mainMenuBar.Text",
"Value","Status Bar","Thanh trạng thái","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_statusBar.Text",
"Value","Edit","Sửa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemEdit.Caption",
"Value","File","Tệp","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemFile.Caption",
"Value","Help","Trợ giúp","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemHelp.Caption",
"Value","Tools","Công cụ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemTools.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemView.Caption",
"Value","About","Thông tin về","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cAbout.Caption",
"Value","Close","Đóng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cClose.Caption",
"Value","Diagnostic","Chuẩn đoán","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cDiagnostic.Caption",
"Value","Edit","Sửa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cEdit.Caption",
"Value","Export","Xuất","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cExport.Caption",
"Value","File","Tệp","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFile.Caption",
"Value","Filters","Bộ lọc","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFilters.Caption",
"Value","Full Text Search","Tìm kiếm toàn văn","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFullTextSearch.Caption",
"Value","Menu","Thực đơn","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cMenu.Caption",
"Value","Records Creation","Tạo đối tượng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cObjectsCreation.Caption",
"Value","Open Record","Mở đối tượng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOpenObject.Caption",
"Value","Options","Tùy chọn","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOptions.Caption",
"Value","Print","In","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cPrint.Caption",
"Value","Record Edit","Sửa bản ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordEdit.Caption",
"Value","Records Navigation","Điều hướng bản ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordsNavigation.Caption",
"Value","Reports","Báo cáo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.TargetPageGroupCaption",
"Value","Save","Ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSave.Caption",
"Value","Search","Tiìm kiếm","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSearch.Caption",
"Value","Tools","Công cụ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cTools.Caption",
"Value","UndoRedo","Hoàn tácLàm lại","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.Caption",
"Value","Edit","Sửa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cWorkflow.Caption",
"Value","Main Toolbar","Thanh công cụ chính","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\standardToolBar.Text",
"Value","Available records:","Các bản ghi tìm được:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\AvailableRecords.Text",
"Value","Find:","Tìm:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\searchActionContainerLayoutItem.Text",
"Value","Type:","Kiểu:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\typeValueLayoutItem.Text",
"Value","Main Menu","Thực đơn chính","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_mainMenuBar.Text",
"Value","Status Bar","Thanh trạng thái","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_statusBar.Text",
"Value","Window List","Danh sách cửa sổ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barMdiChildrenListItem.Caption",
"Value","Edit","Sửa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemEdit.Caption",
"Value","File","Tệp","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemFile.Caption",
"Value","Help","Trợ giúp","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemHelp.Caption",
"Value","Panels","Vùng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemPanels.Caption",
"Value","Tools","Công cụ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemTools.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemView.Caption",
"Value","Window","Cửa sổ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemWindow.Caption",
"Value","About","Thông tin về","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAbout.Caption",
"Value","Appearance","Hình dạng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAppearance.Caption",
"Value","Default","Mặc định","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDefault.Caption",
"Value","Diagnostic","Chuẩn đoán","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDiagnostic.Caption",
"Value","Edit","Sửa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cEdit.Caption",
"Value","Exit","Thoát","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExit.Caption",
"Value","Export","Xuất","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExport.Caption",
"Value","File","Tệp","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFile.Caption",
"Value","Filters","Bộ lọc","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFilters.Caption",
"Value","Full Text Search","Tìm kiếm toàn văn","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFullTextSearch.Caption",
"Value","Menu","Thực đơn","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cMenu.Caption",
"Value","Records Creation","Tạo đối tượng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cObjectsCreation.Caption",
"Value","Open Record","Mở đối tượng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOpenObject.Caption",
"Value","Options","Tùy chọn","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOptions.Caption",
"Value","Panels","Vùng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.TargetPageCaption",
"Value","Print","In","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPrint.Caption",
"Value","Record Edit","Sửa bản ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordEdit.Caption",
"Value","Records Navigation","Điều hướng bản ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordsNavigation.Caption",
"Value","Reports","Báo cáo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.TargetPageGroupCaption",
"Value","Save","Ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSave.Caption",
"Value","Search","Tìm kiếm","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSearch.Caption",
"Value","Tools","Công cụ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cTools.Caption",
"Value","UndoRedo","Hoàn tácLàm lại","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.Caption",
"Value","Edit","Sửa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cView.Caption",
"Value","Views History Navigation","Lịch sử điều hướng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsHistoryNavigation.Caption",
"Value","Navigation","Điều hướng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsNavigation.Caption",
"Value","Windows","Cửa sổ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.TargetPageCaption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWorkflow.Caption",
"Value","Navigation","Điều hướng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\dockPanelNavigation.Text",
"Value","Main Toolbar","Thanh công cụ chính","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\standardToolBar.Text",
"Value","Window","Cửa sổ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageCaption",
"Value","Windows","Cửa sổ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageGroupCaption",
"Value","Other","Khác","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDefault.Caption",
"Value","Diagnostic","Chuẩn đoán","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDiagnostic.Caption",
"Value","Edit","Sửa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cEdit.Caption",
"Value","Export","Xuất","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cExport.Caption",
"Value","Filters","Bộ lọc","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cFilters.Caption",
"Value","Link","Liên kết","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cLink.Caption",
"Value","Menu","Thực đơn","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cMenu.Caption",
"Value","Records Creation","Tạo đối tượng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cObjectsCreation.Caption",
"Value","Open Record","Mở đối tượng","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cOpenObject.Caption",
"Value","Print","In","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cPrint.Caption",
"Value","Record Edit","Sửa bản ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordEdit.Caption",
"Value","Records Navigation","Điều hướng bản ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordsNavigation.Caption",
"Value","Reports","Báo cáo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cReports.Caption",
"Value","Save","Ghi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cSave.Caption",
"Value","View","Hiển thị","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cWorkflow.Caption",
"Value","Toolbar","Thanh công cụ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\standardToolBar.Text",
"Value","cEdit","cEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cEdit.Caption",
"Value","cExport","cExport","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cExport.Caption",
"Value","cObjectsCreation","cObjectsCreation","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cObjectsCreation.Caption",
"Value","cOpenObject","cOpenObject","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cOpenObject.Caption",
"Value","cPrint","cPrint","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cPrint.Caption",
"Value","cRecordEdit","cRecordEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cRecordEdit.Caption",
"Value","cUndoRedo","cUndoRedo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cUndoRedo.Caption",
"Value","cView","cView","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cView.Caption",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.CustomizationFormText",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.Text",
