"Property Name",,"de","Node Path","Description"
"Value","Add","Hinzufügen","Localization\DialogButtons\Add",
"Value","Apply","Anwenden","Localization\DialogButtons\Apply",
"Value","< Back","< Zurück","Localization\DialogButtons\Back",
"Value","&Cancel","&Abbrechen","Localization\DialogButtons\Cancel",
"Value","C&lear","L&eeren","Localization\DialogButtons\Clear",
"Value","Close","Schliessen","Localization\DialogButtons\Close",
"Value","Find","Suche","Localization\DialogButtons\Find",
"Value","&Ignore","&Ignorieren","Localization\DialogButtons\Ignore",
"Value","Next >","Vorwärts >","Localization\DialogButtons\Next",
"Value","&No","&Nein","Localization\DialogButtons\No",
"Value","&OK","&OK","Localization\DialogButtons\OK",
"Value","Remove","Entfernen","Localization\DialogButtons\Remove",
"Value","&Retry","&Wiederholen","Localization\DialogButtons\Retry",
"Value","&Yes","&Ja","Localization\DialogButtons\Yes",
"Value","View Item Visibility","Ansicht Sichtbarkeit","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","Verstecken","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","Anzeigen","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","Leeren Raum anzeigen","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,"Sichtbare Übersicht Artikel","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"Versteckt","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,"Sichtbar","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","Actions Toolbar Visibility","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","Default","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","Kann Aktion für die Methode {0} der Klasse {1} nicht erstellen. Aktion-Methode sollte nicht generische sein","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","Kann Aktion für die Methode {0} der Klasse {1} nicht erstellen. Action-Methode sollte ohne Parameter sein","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Die ObjectSpace ist schon einer anderen Wurzel Sicht zugeordnet: '{0}'. Dieser Fehler tritt nur auf, wenn Sie eine ObjectSpace, die bereits von einer Wurzel Blick auf eine andere Wurzel Ansicht verwendet zuzuweisen. Zum Beispiel können Sie diese Fehlermeldung erhalten, wenn Sie die XafApplication verwenden. CreateDetailView / CreateListView Methoden in einer ViewController und Weitergabe der View.ObjectSpace Objekt als Parameter an diese Methoden, wenn die View.IsRoot Eigenschaft true ist. \ R \ nWenn Sie diesen Fehler vermeiden wollen reicht es aus, eine neue ObjectSpace Instanz über die XafApplication.CreateObjectSpace Methode in dieser Methoden erstellen, oder erstellen Sie erstellen eine non-root Ansicht durch die Übergabe eines entsprechenden Parameter für diese Methoden. \ r \ nWenn dies nicht hilft, kontaktieren Sie bitte unser Support Team unter http : / / www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","Ein Fehler ist beim Laden des Modells aufgetreten. Quelle: '{0}'","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","Ein Fehler tritt bei der Verarbeitung eines shortcut auf: {0} '","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","Ein Fehler ist aufgetreten, Kontext: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","Ein ungesichertes Objekt kann nicht gezeigt werden","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","Das Programm ist nicht gestartet","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","Die Anwendung kann nicht aktualisiert werden, da der '{1}' Assembly nicht im '{0}' Ordner vorhanden ist.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","Kann die Anwendung nicht auszuführen. Die Datenbank-Version ist neuer als die Version der Anwendung, aber der Server mit der neuen Version der Anwendung wurde nicht gefunden. Bitten Sie den Administrator, zu überprüfen, dass die Konfigurationsdatei den korrekten Pfad auf die neue Version der Anwendung enthält.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","Attribute ändern fehlgeschlagen","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","Attribut '{0}' sollte nicht mit dem '@' Symbol starten: '{1}'","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","Die updatingReadOnlyDataStore.AutoCreateOption ist {0}","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Sie können nicht auf die Collection Eigenschaften, weil die Collection Source initialisiert wurde. Dieser Fehler kann auftreten, zum Beispiel, wenn Sie auf die Collection Eigenschaften in der OnActivated Methode eines ViewController zuzugreifen. Um diesen Fehler zu vermeiden ist es notwendig, auf die Collection Eigenschaften zu einem späteren Zeitpunkt zuzugreifen, wenn die Collection Source bereits initialisiert wurde. Der beste Weg dies zu tun ist, das CollectionChanged Ereignis zu behandeln. Bitte beachten Sie die Produkt-Dokumentation für weitere Informationen über diese Klassen und Methoden. Wenn dies nicht hilft, kontaktieren Sie bitte unser Support Team unter http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
"Value","Can't add the '{0}' collection","Kann die '{0}' Kollektion nicht zuordnen","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","Duplizierter Property-Editor kann nicht hinzugefügt werden: '{0}'","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","Kann nicht zu Empty singleton hinzugefügt werden. Erstellen Sie neue Instanz der Sammlung","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","Der entsprechende Detail Artikel für '{0}' kann nicht erstellt werden","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","Der entsprechende Property-Editor kann nicht erstellt werden für '{0}. {1}' property","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","Kann Schema für Attribut nicht ändern","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","Kann Schablone nicht nach Name erstellen: '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Kann keinen Nachfolger der XafApplication Klasse finden, um die Einstellungen Ihrer Anwendung in den folgenden Ordner (n) zu erkennen: {0} Für eine Windows Forms-Anwendung, muss dieser Ordner eine ausführbare Datei enthalten. Für eine ASP.NET-Anwendung, muss dieser Ordner die Assembly continaing Ihres WebApplication Nachfolgers enthalten.","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","Finde nicht ListView mit ID='{0}'","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","Cannot find the '{0}' member within the '{1}' class","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","Finde nicht '{0}' Eigenschaften mit '{1}' Klasse","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","Kann den Inhalt in 'ClassName' nicht erstellen, Attribut ist leer","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","Objekt bearbeiten nicht gestattet","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","Kann die angeforderte URL nicht verarbeiten","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","Kann die angeforderte URL icht verarbeiten das '{0}' Aktionelement wurde nicht gefunden","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","Kann das Wörterbuch von '{0}' Ressource des '{1}' Assemblys nicht lesen","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","Kann den EditValue nicht durch den '{0}' Text, der verfügbaren Werte: \r\n{1} ersetzen","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","Kann den EditValue nicht durch den '{0}' Text ersetzen, die Liste ist leer","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","Kann die Ansicht unbekannter Kontext nicht anzeigen: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","Kann die Ansicht nicht anzeigen, unbekanntes Ziel: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","Klasse '{0}' implementiert die Schnittstelle '{1}' nicht","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
