"Property Name",,"no","Node Path","Description"
"Value","Remove","Fjern","Localization\DialogButtons\Remove",
"Value","&Retry","P&røv igjen","Localization\DialogButtons\Retry",
"Value","&Yes","&Ja","Localization\DialogButtons\Yes",
"Value","View Item Visibility","View Item Visibility","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","Show empty space","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,,"Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"Skjult","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,"Synlig","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","Actions Toolbar Visibility","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","Default","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","Kan ikke opprette handling for metoden {0} i klassen {1}. Handlingsmetoden skal være ikke-generisk","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","Kan ikke opprette handling for metoden {0} i klassen {1}. Handlingsmetoden skal være uten parametre","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","ObjectSpace er allerede tilordnet til en annen rot-visning: {0}. Denne feilen oppstår bare når du prøver å tilordne et ObjectSpace som allerede er i bruk av en annen rot-visning. Du kan for eksempel få denne feilmeldingen når du bruker metodene XafApplication.CreateDetailView/CreateListView i en ViewController og sender View.ObjectSpace-objektet som en parameter til disse metodene når attributten View.IsRoot er true.\r\nFor å unngå denne feilen er det tilstrekkelig å sende inn en ny ObjectSpace-forekomst som er opprettet via metoden XafApplication.CreateObjectSpace i disse metodene eller opprette ikke-rot visninger ved å sende en tilsvarende parameter til disse metodene.\r\nHvis dette ikke hjelper, kan du kontakte vår support-gruppe på http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","Det oppstod en feil under lasting av modellen. Kilde: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","Det oppstår en feil under prosessering av en snarvei: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","En feil har oppstått, kontekst: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","Et ulagret objekt kan ikke vises","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","Programmet er ikke startet","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","Programmet kan ikke oppdateres fordi assembly'et {1} ikke finnes i mappen {0}.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","Kan ikke kjøre programmet. Database-versjonen er nyere enn program-versjonen, men serveren med den nye program-versjonen finnes ikke. Be administratoren om å kontrollere at konfigurasjonfilen inneholder en riktig bane til den nye versjonen av programmet.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","Endring attributtet mislyktes","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","Attributtet {0} må begynne med '@'-symbolet: {1}","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","UpdatingReadOnlyDataStore.AutoCreateOption er {0}","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Du kan ikke tilgang til egenskapen Collection fordi Collection Source initialiseres nå. Denne feilen kan for eksempel oppstå når du prøver å få tilgang til egenskapen Collection i OnActivated-metoden for et ViewController. For å unngå denne feilen er det nødvendig å tilgang til Collection-egenskapen på et senere tidspunkt, når Collection-kilde allerede er initialisert. Den beste måten å gjøre dette er å håndtere event'et CollectionChanged. Se produktdokumentasjonen for mer detaljert informasjon om disse klassene og metodene. Hvis dette ikke hjelper, kan du kontakte vår support-gruppe på http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
