"Property Name",,"cs","Node Path","Description"
"Value","Unable to execute disabled or inactive action {2}. Disable reasons: {0}, inactive reasons: {1}","Není možné provést zakázanou nebo neaktivní akci {2}. Zakázané důvody: {0}, neaktivní důvody: {1}","Localization\Exceptions\SystemExceptions\UnableToExecuteDisabledOrInactiveAction",
"Value","Unable to find a detail view for the '{0}' object type","Není možné nalézt detailní zobrazení  pro objekt typu '{0}'","Localization\Exceptions\SystemExceptions\UnableToFindADetailViewForType",
"Value","Unable to find a list view for the '{0}' object type","Není možné nalézt seznam zobrazení pro objekt typu '{0}' ","Localization\Exceptions\SystemExceptions\UnableToFindAListViewForType",
"Value","Unable to find property '{0}' in type '{1}'","Není možné nalézt vlastnost '{0}' v typu '{1}'","Localization\Exceptions\SystemExceptions\UnableToFindPropertyInType",
"Value","Unable to find type '{0}'","Není možné nalézt typ '{0}'","Localization\Exceptions\SystemExceptions\UnableToFindType",
"Value","Unable to initialize the {0} property in the {1} object, because this property is readonly, or the {2} type doesn't have a default constructor, or you don't have permissions to create it","Není možné inicializovat vlastnost {0} v objektu {1}, protože tato vlastnost je pouze pro čtení nebo typ {2} nemá výchozí konstruktor nebo nemáte povolení ji vytvořit","Localization\Exceptions\SystemExceptions\UnableToInitializeFileDataProperty",
"Value","Unable to set the readonly property '{0}'","Vlastnost '{0}' není možné nastavit pouze pro čtení '{0}'","Localization\Exceptions\SystemExceptions\UnableToSetReadOnlyProperty",
"Value","Unknown exception occurs. Cannot retrieve the exception details","Vyskytla se neznámá výjimka. Nepodařilo se zjistit detaily výjimky.","Localization\Exceptions\SystemExceptions\UnknownException",
"Value","Unknown value: '{0}'","Neznámá hodnota: '{0}'","Localization\Exceptions\SystemExceptions\UnknownValue",
"Value","Unknown view node name: '{0}'\r\nAllowed names: '{1}', '{2}'","Neznámé zobrazení jména uzlu: '{0}'\r\npovolená jména: '{1}', '{2}'","Localization\Exceptions\SystemExceptions\UnknownViewNodeName",
"Value","The {0} collection property of the {1} class does not have an associated member in the target object class {2}","The {0} collection property of the {1} class does not have an associated member in the target object class {2}","Localization\Exceptions\SystemExceptions\ValidationCannotFindTheAssociatedMemberInTargetClassForCollectionProperty",
"Value","Cannot check the '{0}' validation rule that is using the '{1}' property because this property doesn't exist in the target '{2}' class","Není možné zkontrolovat pravidlo ověřování '{0}' používané ve vlastnosti '{1}', protože tato vlastnost neexistuje v cílové třídě  '{2}' ","Localization\Exceptions\SystemExceptions\ValidationCannotFindThePropertyWithinTheClass",
"Value","Validation message template has an invalid format: '{0}'","Šablona ověřovací zprávy má neplatný formát: '{0}'","Localization\Exceptions\SystemExceptions\ValidationMessageTemplateHasInvalidFormat",
"Value","The '{1}' value cannot be stored into the '{0}' property","Hodnota '{1}' nemůže být  uložena do vlastnosti '{0}'","Localization\Exceptions\SystemExceptions\ValueCannotBeStoredIntoTheProperty",
"Value","The window was not found by id '{0}'. Registered windows: '{1}'","Pomocí id '{0}' nebylo okno nalezeno. Registrovaná okna: '{1}'","Localization\Exceptions\SystemExceptions\WindowWasNotFound",
"Value","The XPDictionary is null","XPDictionary je null","Localization\Exceptions\SystemExceptions\XPDictionaryIsNull",
"Value","You cannot change the current aspect. It depends on the culture of the current thread","Nemůžete změnit aktuální aspekt. Závisí na jazykové verzi aktuálního podprocesu.","Localization\Exceptions\SystemExceptions\YouCannotChangeCurrentAspect",
"Value","Cannot register the '{0}' Action in the '{1}' Action Container. The '{0}' Action is not of the '{2}' Type.","Není možné registrovat akci '{0}' v akčním  kontejneru '{1}'. Akce '{0}'není typem '{2}'.","Localization\Exceptions\UserVisibleExceptions\ActionIsNotSingleChoiceAction",
"Value","The update has been successfully completed. However, the database version is still greater than the application version. Please contact your system administrator.","Aktualizace byla úspěšně dokončena. Verze databáze je však stále větší než verze aplikace. Kontaktujte správce systému.","Localization\Exceptions\UserVisibleExceptions\ApplicationUpdateError",
"Value","This operation cannot be completed, because it leads to a circular reference.","Tato operace nemůže být dokončena, protože, protože vede k cyklickému odkazu. ","Localization\Exceptions\UserVisibleExceptions\CircularReference",
"Value","Please specify the object type for which you want to construct a criterion.","Specifikujte typ objektu, pro který chcete sestavit kritérium. ","Localization\Exceptions\UserVisibleExceptions\CriteriaEditorsDataTypeIsNull",
"Value","The length of this field value cannot exceed {0}","Délka hodnoty polenemůže překročit {0}","Localization\Exceptions\UserVisibleExceptions\FieldValueSizeExceedsMaxLength",
"Value","After three unsuccessful login attempts, the application will now be closed. Please consider contacting an administrator about your login details.","Po třech neúspěšných pokusech o přihlášení bude aplikace uzavřena. Kontaktujte administrátora s informací o detailech přihlášení.","Localization\Exceptions\UserVisibleExceptions\LogonAttemptsAmountedToLimitWin",
"Value","Input missing symbols","Chybí symbol vstupu ","Localization\Exceptions\UserVisibleExceptions\MaskValidationErrorMessage",
"Value",,,"Localization\Exceptions\UserVisibleExceptions\MessageWarningTitle",
"Value","The 'Object Type' field must not be empty and at least one access field must have a value that differs from None.","Pole 'Object Type' musí být prázdné a alespoň jedno přístupové pole musí mít hodnotu odlišnou od nuly.","Localization\Exceptions\UserVisibleExceptions\ObjectAccessPermissionCannotBeEmpty",
"Value","The object you are trying to save was changed by another user. Please refresh data.","Objekt, který ukládáte, byl změněn jiným uživatelem. Aktualizujte data.","Localization\Exceptions\UserVisibleExceptions\ObjectToSaveWasChanged",
"Value","Data is displayed in read-only mode because it has been deleted.","Data jsou zobrazena jen pro čtení, protože byla smazána. ","Localization\Exceptions\UserVisibleExceptions\RequestedObjectHasBeenDeleted",
"Value","Requested object is not found and cannot be processed.","Požadovaný objekt nelze nalézt a nemůže být zpracován. ","Localization\Exceptions\UserVisibleExceptions\RequestedObjectIsNotFound",
"Value","Warning: simultaneous modifications of the same information in different windows/views are detected:\n
{0}\n
It will be possible to save modifications in one window/view only.","Warning: simultaneous modifications of the same information in different windows/views are detected:\n
{0}\n
It will be possible to save modifications in one window/view only.","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessage",
"Value"," - '{0}' window/view ({1}), '{2}' object ({3})"," - '{0}' window/view ({1}), '{2}' object ({3})","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessageItem",
"Value","An error with number {0} has occurred.\r\nError message: {1}","Vyskytla se chyba s číslem {0}.\r\nChybová zpráva : {1}","Localization\Exceptions\UserVisibleExceptions\SystemExceptionMessageFormat",
"Value","The following error occurred:","Vyskytla se následující chyba:","Localization\Exceptions\UserVisibleExceptions\TheFollowingErrorOccurred",
"Value","The connection to the database failed. Please contact your system administrator.","Připojení k databázi se nezdařilo. Kontaktujte správce systému.","Localization\Exceptions\UserVisibleExceptions\UserFriendlyConnectionFailedException",
"Value","An error has occurred connecting to the database. Please contact your system administrator.","Při připojení k databázi se vyskytla chyba. An error has occurred connecting to the database. Kontaktujte správce systému.","Localization\Exceptions\UserVisibleExceptions\UserFriendlySqlException",
"Value","User: {0}","Uživatel: {0}","Localization\Messages\User",
"Value","Error","Error","Localization\Texts\Error",
"Value","N/A","N/A","Localization\Texts\NullValueText",
"Value","Warning","Warning","Localization\Texts\Warning",
"Caption","About","O aplikaci","Views\AboutInfo_DetailView",
"Text","{0:ProductName}<br>{0:Version}<br>{0:Copyright}<br>{0:Description}","{0:ProductName}<br>{0:Version}<br><br>{0:Copyright}<br><br>{0:Description}","Views\AboutInfo_DetailView\Items\AboutText",
"Caption","About...","About...","ActionDesign\Actions\About Info",
"Caption","Choose Skin","Zvolený vzhled","ActionDesign\Actions\ChooseSkin",
"Caption","Close","Zavřít","ActionDesign\Actions\Close",
"Caption","Edit Model","Upravit model","ActionDesign\Actions\EditModel",
"Caption","Exit","Konec","ActionDesign\Actions\Exit",
"Caption","Copy Cell Value","Hodnota zkopírované buňky","ActionDesign\Actions\CopyCellValue",
"Caption","Clear","Smazat","ActionDesign\Actions\Clear",
"Caption","Open Record","Otevřít objekt","ActionDesign\Actions\OpenObject",
"ToolTip","Open the record associated with the focused editor","Otevřít objekt spojený s aktuálním editorem","ActionDesign\Actions\OpenObject",
"Caption","Show Toolbar","Show Toolbar","ActionDesign\Actions\ShowToolbar",
"Caption","Export Analysis to","Export Analysis to","ActionDesign\Actions\ExportAnalysis",
"Caption","Export to","Exportovat do","ActionDesign\Actions\Export",
"Caption","Page Setup...","Nastavení stránky…","ActionDesign\Actions\PageSetup",
"ToolTip","Page Setup","Nastavení strány","ActionDesign\Actions\PageSetup",
"Caption","Print...","Tisk…","ActionDesign\Actions\Print",
"ToolTip","Print Dialog","Tisk dialogu","ActionDesign\Actions\Print",
"Caption","Print Preview...","Náhled tisku…","ActionDesign\Actions\PrintPreview",
"ToolTip","Print Preview","Náhled tisku…","ActionDesign\Actions\PrintPreview",
"Value","Filter Builder","Filter Builderu","Localization\Captions\FilterBuilder",
"Value","Object Model","Model objektu","Localization\Captions\ObjectModel",
"Value","Do you want to cancel your changes?","Chcete zrušit vaše změny?","Localization\Confirmations\Cancel",
"Value","Closing this window causes an error. Do you want to close the window anyway?\r\nWarning: if you click 'Yes', all changes will be lost.","Zavření tohoto okna způsobí chybu. Chcete přesto okno zavřít?\r\nUpozornění: pokud kliknete na 'Ano', všechny změny budou ztraceny.","Localization\Confirmations\ConfirmForcedCloseWindow",
"Value","Do you want to save changes?","Chcete uložit změny?","Localization\Confirmations\Save",
"Value","Find Text:","Find Text:","Localization\Controls\LargeStringEditFindForm\FindLabelText",
"Value","Find","Find","Localization\Controls\LargeStringEditFindForm\FindMenuItemText",
"Value","Find Next","Find Next","Localization\Controls\LargeStringEditFindForm\FindNextButtonText",
"Value","Find","Find","Localization\Controls\LargeStringEditFindForm\FormText",
"Value","Auto Hide","Automaticky skrýt","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\AutoHide",
"Value","Hidden","Skrytý","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Hidden",
"Value","Visible","Viditelný","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Visible",
"Value","Main Menu","Hlavní nabídka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_mainMenuBar.Text",
"Value","Status Bar","Stavový řádek","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_statusBar.Text",
"Value","Edit","Upravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemEdit.Caption",
"Value","File","Soubor","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemFile.Caption",
"Value","Help","Nápověda","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemHelp.Caption",
"Value","Tools","Nástroje","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemTools.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemView.Caption",
"Value","About","O aplikaci","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cAbout.Caption",
"Value","Close","Zavřít","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cClose.Caption",
"Value","Diagnostic","Diagnostika","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cDiagnostic.Caption",
"Value","Edit","Upravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cEdit.Caption",
"Value","Export","Exportovat","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cExport.Caption",
"Value","File","Soubor","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFile.Caption",
"Value","Filters","Filtry","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFilters.Caption",
"Value","Full Text Search","Fultextové vyhledávání","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFullTextSearch.Caption",
"Value","Menu","Nabídka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cMenu.Caption",
"Value","Records Creation","Vytvoření objektů","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cObjectsCreation.Caption",
"Value","Open Record","Otevření objektu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOpenObject.Caption",
"Value","Options","Nastavení","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOptions.Caption",
"Value","Print","Tisk","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cPrint.Caption",
"Value","Record Edit","Editace záznamu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordEdit.Caption",
"Value","Records Navigation","Záznamy navigace","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordsNavigation.Caption",
"Value","Reports","Sestavy","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.TargetPageGroupCaption",
"Value","Save","Uložit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSave.Caption",
"Value","Search","Hledat","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSearch.Caption",
"Value","Tools","Nástroje","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cTools.Caption",
"Value","UndoRedo","Zpět","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.Caption",
"Value","Edit","Upravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cWorkflow.Caption",
"Value","Main Toolbar","Hlavní panel nástrojů","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\standardToolBar.Text",
"Value","Available records:","Dostupné záznamy:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\AvailableRecords.Text",
"Value","Find:","Find:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\searchActionContainerLayoutItem.Text",
"Value","Type:","Type:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\typeValueLayoutItem.Text",
"Value","Main Menu","Hlavní menu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_mainMenuBar.Text",
"Value","Status Bar","Stavový řádek","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_statusBar.Text",
"Value","Window List","Seznam oken","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barMdiChildrenListItem.Caption",
"Value","Edit","Upravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemEdit.Caption",
"Value","File","Soubor","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemFile.Caption",
"Value","Help","Nápověda","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemHelp.Caption",
"Value","Panels","Panely","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemPanels.Caption",
"Value","Tools","Nástroje","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemTools.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemView.Caption",
"Value","Window","Okno","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemWindow.Caption",
"Value","About","O aplikaci","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAbout.Caption",
"Value","Appearance","Vzhled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAppearance.Caption",
"Value","Default","Výchozí","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDefault.Caption",
"Value","Diagnostic","Diagnostika","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDiagnostic.Caption",
"Value","Edit","Upravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cEdit.Caption",
"Value","Exit","Konec","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExit.Caption",
"Value","Export","Exportovat","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExport.Caption",
"Value","File","Soubor","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFile.Caption",
"Value","Filters","Filtry","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFilters.Caption",
"Value","Full Text Search","Fultextové vyhledávání","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFullTextSearch.Caption",
"Value","Menu","Nabídka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cMenu.Caption",
"Value","Records Creation","Vytvoření objektu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cObjectsCreation.Caption",
"Value","Open Record","Otevření objektu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOpenObject.Caption",
"Value","Options","Možnosti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOptions.Caption",
"Value","Panels","Panely","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.TargetPageCaption",
"Value","Print","Tisk","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPrint.Caption",
"Value","Record Edit","Editace záznamu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordEdit.Caption",
"Value","Records Navigation","Navigace záznamů","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordsNavigation.Caption",
"Value","Reports","Sestavy","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.TargetPageGroupCaption",
"Value","Save","Uložit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSave.Caption",
"Value","Search","Hledat","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSearch.Caption",
"Value","Tools","Nástroje","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cTools.Caption",
"Value","UndoRedo","Zpět","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.Caption",
"Value","Edit","Upravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cView.Caption",
"Value","Views History Navigation","Náhled na historii navigace","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsHistoryNavigation.Caption",
"Value","Navigation","Navigation","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsNavigation.Caption",
"Value","Windows","Okna","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.TargetPageCaption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWorkflow.Caption",
"Value","Navigation","Navigace","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\dockPanelNavigation.Text",
"Value","Main Toolbar","Hlavní panel nástrojů","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\standardToolBar.Text",
"Value","Window","Okno","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageCaption",
"Value","Windows","Okna","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageGroupCaption",
"Value","Other","Další ","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDefault.Caption",
"Value","Diagnostic","Diagnostika","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDiagnostic.Caption",
"Value","Edit","Upravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cEdit.Caption",
"Value","Export","Exportovat","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cExport.Caption",
"Value","Filters","Filtry","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cFilters.Caption",
"Value","Link","Odkaz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cLink.Caption",
"Value","Menu","Nabídka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cMenu.Caption",
"Value","Records Creation","Vytvoření objektů","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cObjectsCreation.Caption",
"Value","Open Record","Otevření objektu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cOpenObject.Caption",
"Value","Print","Tisk","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cPrint.Caption",
"Value","Record Edit","Editace záznamu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordEdit.Caption",
"Value","Records Navigation","Procházení záznamů","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordsNavigation.Caption",
"Value","Reports","Sestavy","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cReports.Caption",
"Value","Save","Uložit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cSave.Caption",
"Value","View","Zobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cWorkflow.Caption",
"Value","Toolbar","Panel nástrojů","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\standardToolBar.Text",
"Value","cEdit","cUpravit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cEdit.Caption",
"Value","cExport","cExportovat","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cExport.Caption",
"Value","cObjectsCreation","cVytvoření objektu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cObjectsCreation.Caption",
"Value","cOpenObject","cOtevření objektu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cOpenObject.Caption",
"Value","cPrint","cTisk","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cPrint.Caption",
"Value","cRecordEdit","cEditace záznamu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cRecordEdit.Caption",
"Value","cUndoRedo","cZpět","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cUndoRedo.Caption",
"Value","cView","cZobrazit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cView.Caption",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.CustomizationFormText",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.Text",
"Value","layoutControlGroup1","layoutControlGroup1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.CustomizationFormText",
"Value","Root","Kořen","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.Text",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.CustomizationFormText",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.Text",
"Value","Root","Kořen","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.CustomizationFormText",
"Value","Root","Kořen","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.Text",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.CustomizationFormText",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.Text",
"Value","Unable to save customization information:\n{0}","Nelze uložit upravené informace:\n{0}","Localization\Messages\UnableToSaveCustomization",
"Value","Actions","Akce","Localization\Ribbon\ActionsPageGroup",
"Value","Home","Domů","Localization\Ribbon\HomePage",
"Value","Aggregate operations","Agregovat operace","Localization\Texts\Aggregates",
"Value","Avg(Field)\r\nEvaluates an average of all values in a collection.","Avg(Field)\r\nVyhodnotit průměr všech hodnot v kolekci.","Localization\Texts\AggregatesAvgDescription",
"Value","Count\r\nReturns the number of objects in a collection.","Count\r\nVrátit počet objektů v kolekci.","Localization\Texts\AggregatesCountDescription",
"Value","Max(Field)\r\nReturns the maximum expression value in a collection.","Max(Field)\r\nVrátit maximální hodnotu v kolekci.","Localization\Texts\AggregatesMaxDescription",
"Value","Min(Field)\r\nReturns the minimum expression value in a collection.","Min(Field)\r\nVrátit minimální hodnotu v kolekci.","Localization\Texts\AggregatesMinDescription",
"Value","Sum(Field)\r\nReturns a sum of all expression values in a collection.","Sum(Field)\r\nVrátit sumu všech hodnot v kolekci.","Localization\Texts\AggregatesSumDescription",
"Caption","Choose Theme","Vybrat téma","ActionDesign\Actions\ChooseTheme",
"Caption","Edit","Upravit","ActionDesign\Actions\Edit",
"Caption","Inline Edit","Řádková editace","ActionDesign\Actions\InlineEdit",
"Caption","Edit","Upravit","ActionDesign\Actions\SwitchToEditMode",
"Caption","Quick create","Rychle vytvořit","ActionDesign\Actions\QuickCreateAction",
"Caption","Navigate To","Přejít na","ActionDesign\Actions\NavigateTo",
"Caption","Logon Attempts Amounted To Limit","Logon Attempts Amounted To Limit","BOModel\DevExpress.ExpressApp.Web.LogonAttemptsAmountedToLimit",
"Caption","Parameterless Logon Failed Info","Parameterless Logon Failed Info","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo",
"Caption","Message","Zpráva","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo\OwnMembers\Message",
"Value","Clear","Clear","Localization\ASPxImagePropertyEditor\Clear",
"Value","Edit","Edit","Localization\ASPxImagePropertyEditor\Edit",
"Value","<enter a value>","<enter a value>","Localization\Controls\ASPxCriteriaEdit\EnterValueText",
"Value","All","All","Localization\Controls\DevExpress.ASPxGridView\PageSizeAllRecords",
"Value","Items per page:","Items per page:","Localization\Controls\DevExpress.ASPxGridView\PageSizeCaption",
