"Property Name",,"ru","Node Path","Description"
"Caption","Export to","Экспорт","ActionDesign\Actions\Export",
"Caption","Page Setup...","Настройка страницы...","ActionDesign\Actions\PageSetup",
"ToolTip","Page Setup","Настройка страницы","ActionDesign\Actions\PageSetup",
"Caption","Print...","Печать...","ActionDesign\Actions\Print",
"ToolTip","Print Dialog","Диалог печати","ActionDesign\Actions\Print",
"Caption","Print Preview...","Предпросмотр печати...","ActionDesign\Actions\PrintPreview",
"ToolTip","Print Preview","Предпросмотр печати","ActionDesign\Actions\PrintPreview",
"Value","Filter Builder","Редактор фильтров","Localization\Captions\FilterBuilder",
"Value","Object Model","Модель объекта","Localization\Captions\ObjectModel",
"Value","Do you want to cancel your changes?","Вы хотите отменить изменения?","Localization\Confirmations\Cancel",
"Value","Closing this window causes an error. Do you want to close the window anyway?\r\nWarning: if you click 'Yes', all changes will be lost.","Закрытие этого окна приведет к ошибке. Вы все таки хотите закрыть окно?\r\nВнимание: если вы нажмете 'Да', все изменения будут потеряны.","Localization\Confirmations\ConfirmForcedCloseWindow",
"Value","Do you want to save changes?","Вы хотите сохранить изменения?","Localization\Confirmations\Save",
"Value","Find Text:","Найти текст:","Localization\Controls\LargeStringEditFindForm\FindLabelText",
"Value","Find","Найти","Localization\Controls\LargeStringEditFindForm\FindMenuItemText",
"Value","Find Next","Найти следующего","Localization\Controls\LargeStringEditFindForm\FindNextButtonText",
"Value","Find","Поиск","Localization\Controls\LargeStringEditFindForm\FormText",
"Value","Auto Hide","Скрывать автоматически","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\AutoHide",
"Value","Hidden","Скрытый","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Hidden",
"Value","Visible","Видимый","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Visible",
"Value","Main Menu","Главное меню","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_mainMenuBar.Text",
"Value","Status Bar","Строка состояния","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_statusBar.Text",
"Value","Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemEdit.Caption",
"Value","File","Файл","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemFile.Caption",
"Value","Help","Помощь","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemHelp.Caption",
"Value","Tools","Инструменты","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemTools.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemView.Caption",
"Value","About","О программе","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cAbout.Caption",
"Value","Close","Закрыть","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cClose.Caption",
"Value","Diagnostic","Диагностика","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cDiagnostic.Caption",
"Value","Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cEdit.Caption",
"Value","Export","Экспорт","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cExport.Caption",
"Value","File","Файл","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFile.Caption",
"Value","Filters","Фильтры","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFilters.Caption",
"Value","Full Text Search","Поиск по тексту","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFullTextSearch.Caption",
"Value","Menu","Меню","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cMenu.Caption",
"Value","Records Creation","Создание объектов","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cObjectsCreation.Caption",
"Value","Open Record","Открытие объекта","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOpenObject.Caption",
"Value","Options","Настройки","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOptions.Caption",
"Value","Print","Печать","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cPrint.Caption",
"Value","Record Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordEdit.Caption",
"Value","Records Navigation","Навигация","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordsNavigation.Caption",
"Value","Reports","Отчеты","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.TargetPageGroupCaption",
"Value","Save","Сохранение","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSave.Caption",
"Value","Search","Поиск","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSearch.Caption",
"Value","Tools","Инструменты","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cTools.Caption",
"Value","UndoRedo","Отмена/Возврат","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.Caption",
"Value","Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cView.Caption",
"Value","Workflow","Рабочий процесс","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cWorkflow.Caption",
"Value","Main Toolbar","Панель инструментов","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\standardToolBar.Text",
"Value","Available records:","Доступные записи:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\AvailableRecords.Text",
"Value","Find:","Поиск:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\searchActionContainerLayoutItem.Text",
"Value","Type:","Тип:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\typeValueLayoutItem.Text",
"Value","Main Menu","Главное меню","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_mainMenuBar.Text",
"Value","Status Bar","Строка состояния","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_statusBar.Text",
"Value","Window List","Список окон","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barMdiChildrenListItem.Caption",
"Value","Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemEdit.Caption",
"Value","File","Файл","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemFile.Caption",
"Value","Help","Помощь","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemHelp.Caption",
"Value","Panels","Панели","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemPanels.Caption",
"Value","Tools","Инструменты","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemTools.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemView.Caption",
"Value","Window","Окно","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemWindow.Caption",
"Value","About","О программе","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAbout.Caption",
"Value","Appearance","Внешний вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAppearance.Caption",
"Value","Default","По умолчанию","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDefault.Caption",
"Value","Diagnostic","Диагностика","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDiagnostic.Caption",
"Value","Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cEdit.Caption",
"Value","Exit","Выход","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExit.Caption",
"Value","Export","Экспорт","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExport.Caption",
"Value","File","Файл","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFile.Caption",
"Value","Filters","Фильтры","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFilters.Caption",
"Value","Full Text Search","Поиск по тексту","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFullTextSearch.Caption",
"Value","Menu","Меню","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cMenu.Caption",
"Value","Records Creation","Создание объектов","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cObjectsCreation.Caption",
"Value","Open Record","Открытие объекта","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOpenObject.Caption",
"Value","Options","Настройки","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOptions.Caption",
"Value","Panels","Панели","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.TargetPageCaption",
"Value","Print","Печать","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPrint.Caption",
"Value","Record Edit","Правка записи","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordEdit.Caption",
"Value","Records Navigation","Навигация","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordsNavigation.Caption",
"Value","Reports","Отчеты","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.TargetPageGroupCaption",
"Value","Save","Сохранение","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSave.Caption",
"Value","Search","Поиск","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSearch.Caption",
"Value","Tools","Инструменты","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cTools.Caption",
"Value","UndoRedo","Отмена/Возврат","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.Caption",
"Value","Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cView.Caption",
"Value","Views History Navigation","Истории навигации","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsHistoryNavigation.Caption",
"Value","Navigation","Навигация","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsNavigation.Caption",
"Value","Windows","Окна","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.TargetPageCaption",
"Value","Workflow","Рабочий процесс","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWorkflow.Caption",
"Value","Navigation","Навигация","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\dockPanelNavigation.Text",
"Value","Main Toolbar","Панель инструментов","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\standardToolBar.Text",
"Value","Window","Окно","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageCaption",
"Value","Windows","Окна","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageGroupCaption",
"Value","Other","По умолчанию","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDefault.Caption",
"Value","Diagnostic","Диагностика","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDiagnostic.Caption",
"Value","Edit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cEdit.Caption",
"Value","Export","Экспорт","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cExport.Caption",
"Value","Filters","Фильтры","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cFilters.Caption",
"Value","Link","Добавление","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cLink.Caption",
"Value","Menu","Меню","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cMenu.Caption",
"Value","Records Creation","Создание объектов","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cObjectsCreation.Caption",
"Value","Open Record","Открытие объекта","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cOpenObject.Caption",
"Value","Print","Печать","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cPrint.Caption",
"Value","Record Edit","Правка записи","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordEdit.Caption",
"Value","Records Navigation","Навигация","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordsNavigation.Caption",
"Value","Reports","Отчеты","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cReports.Caption",
"Value","Save","Сохранение","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cSave.Caption",
"Value","View","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cView.Caption",
"Value","Workflow","Рабочий процесс","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cWorkflow.Caption",
"Value","Toolbar","Панель инструментов","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\standardToolBar.Text",
"Value","cEdit","Правка","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cEdit.Caption",
"Value","cExport","Экспорт","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cExport.Caption",
"Value","cObjectsCreation","Создание объектов","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cObjectsCreation.Caption",
"Value","cOpenObject","Открытие объекта","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cOpenObject.Caption",
"Value","cPrint","Печать","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cPrint.Caption",
"Value","cRecordEdit","Правка записи","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cRecordEdit.Caption",
"Value","cUndoRedo","Отмена/Возврат","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cUndoRedo.Caption",
"Value","cView","Вид","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cView.Caption",
"Value","emptySpaceItem2","emptySpaceItem 2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.CustomizationFormText",
"Value","emptySpaceItem2","emptySpaceItem 2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.Text",
"Value","layoutControlGroup1","layoutControlGroup 1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.CustomizationFormText",
"Value","Root","Корень","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.Text",
"Value","layoutControlItem1","layoutControlItem 1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.CustomizationFormText",
"Value","layoutControlItem1","layoutControlItem 1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.Text",
"Value","Root","Корень","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.CustomizationFormText",
"Value","Root","Корень","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.Text",
"Value","simpleSeparator1","simpleSeparator 1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.CustomizationFormText",
"Value","simpleSeparator1","simpleSeparator 1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.Text",
"Value","Unable to save customization information:\n{0}","Не удается сохранить настройки: \r\n{0}","Localization\Messages\UnableToSaveCustomization",
"Value","Actions","Действия","Localization\Ribbon\ActionsPageGroup",
"Value","Home","Домой","Localization\Ribbon\HomePage",
"Value","Aggregate operations","Cводные операции","Localization\Texts\Aggregates",
"Value","Avg(Field)\r\nEvaluates an average of all values in a collection.","Avg(Field)\r\nВычисляет среднее значение всех значений в коллекции.","Localization\Texts\AggregatesAvgDescription",
"Value","Count\r\nReturns the number of objects in a collection.","Count\r\nВозвращает количество объектов в коллекции.","Localization\Texts\AggregatesCountDescription",
"Value","Max(Field)\r\nReturns the maximum expression value in a collection.","Max(Field)\r\nВозвращает максимальное значение выражения в коллекции.","Localization\Texts\AggregatesMaxDescription",
"Value","Min(Field)\r\nReturns the minimum expression value in a collection.","Min(Field)\r\nВозвращает минимальное значение выражения в коллекции.","Localization\Texts\AggregatesMinDescription",
"Value","Sum(Field)\r\nReturns a sum of all expression values in a collection.","Sum(Field)\r\nВозвращает сумму всех значений выражения в коллекции.","Localization\Texts\AggregatesSumDescription",
"Caption","Choose Theme","Выбрать скин","ActionDesign\Actions\ChooseTheme",
"Caption","Edit","Правка","ActionDesign\Actions\Edit",
"Caption","Inline Edit","Встроенная правка","ActionDesign\Actions\InlineEdit",
"Caption","Edit","Правка","ActionDesign\Actions\SwitchToEditMode",
"Caption","Quick create","Быстрое создание","ActionDesign\Actions\QuickCreateAction",
"Caption","Navigate To","Перейти к","ActionDesign\Actions\NavigateTo",
"Caption","Logon Attempts Amounted To Limit","Попытки входа в систему ограничены","BOModel\DevExpress.ExpressApp.Web.LogonAttemptsAmountedToLimit",
"Caption","Parameterless Logon Failed Info","Информация об ошибке при входе без параметров","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo",
"Caption","Message","Сообщение","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo\OwnMembers\Message",
"Value","Clear","Очистить","Localization\ASPxImagePropertyEditor\Clear",
"Value","Edit","Редактировать","Localization\ASPxImagePropertyEditor\Edit",
"Value","<enter a value>","<введите значение>","Localization\Controls\ASPxCriteriaEdit\EnterValueText",
"Value","All","Все","Localization\Controls\DevExpress.ASPxGridView\PageSizeAllRecords",
"Value","Items per page:","Элементов на странице:","Localization\Controls\DevExpress.ASPxGridView\PageSizeCaption",
"Value","Hide image","Скрыть изображение","Localization\Controls\DropDownImageEdit\HideImage",
"Value","Image","Изображение","Localization\Controls\DropDownImageEdit\PopupHeader",
"Value","Show image","Показать изображение","Localization\Controls\DropDownImageEdit\ShowImage",
"Value","There are no records to display.","Нет записей для отображения","Localization\Messages\ThereAreNoRecordsToDisplay",
"Caption","Log On","Вход","Views\LogonAttemptsAmountedToLimit_DetailView",
"Text","After three unsuccessful login attempts, the browser should be closed. Please consider contacting an administrator about your login details.","После трех неудачных попыток Войти, браузер должен быть закрыт. Пожалуйста, обратись к администратору за детальной информации о вашем входе.","Views\LogonAttemptsAmountedToLimit_DetailView\Items\LogonText",
"Caption","Log On","Вход","Views\ParameterlessLogonFailedInfo_DefaultDetailView",
"Text","{0} Please consider contacting an administrator about your login details.","{0} Пожалуйста, обратись к  администратору за детальной информацией о вашем входе.","Views\ParameterlessLogonFailedInfo_DefaultDetailView\Items\Message",
"Value","Blob data","Бинарные данные","Localization\AuditTrail\BlobDataString",
"Value","N/A","Н/Д","Localization\AuditTrail\NullValueString",
"Caption","Validate","Контроль","ActionDesign\Actions\ShowAllContexts",
"ToolTip","Validate selected object(s) in all presented contexts","Проверить выбранные объекты во всех имеющихся контекстах","ActionDesign\Actions\ShowAllContexts",
"Caption","Context Validation Result","Результат проверки контекста","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult",
"Caption","Context","Контекст","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\Context",
"Caption","State","Состояние","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\State",
"Caption","Broken Rules","Нарушенные правила","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\BrokenRules",
"Caption","Displayable Validation Result Items","Отображаемые элементы результата контроля","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\DisplayableValidationResultItems",
"Caption","Validation Details","Подробная информация о проверке","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem",
"Caption","Rule Name","Имя правила","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleName",
"Caption","Context Caption","Имя контекста","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextCaption",
"Caption","Context Id","Идентификатор контекста","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextId",
"Caption","Rule","Правило","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\Rule",
"Caption","State","Состояние","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\State",
"Caption","Error Message","Сообщение об ошибке","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ErrorMessage",
"Caption","Target","Цель","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\TargetCaption",
"Caption","Rule Properties","Свойства правила","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleProperties",
"Caption","Validation Results","Результаты контроля","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults",
"Caption","Results","Результаты","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\Results",
"Caption","Highlight Errors","Выделять ошибки","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\HighlightErrors",
"Caption","Displayable Validation Result Items","Отображаемые элементы результата контроля","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\DisplayableValidationResultItems",
"Caption","IRule Base Properties","Базовые свойства правила","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties",
"Caption","Id","Идентификатор","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\Id",
"Caption","Name","Имя","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\Name",
"Caption","Custom Message Template","Шаблон сообщения","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\CustomMessageTemplate",
"Caption","Target Type","Целевой тип","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\TargetType",
"Caption","Target Context IDs","Идентификаторы целевых контекстов","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\TargetContextIDs",
"Caption","Invert Result","Инвертировать результат","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\InvertResult",
"Caption","Skip Null Or Empty Values","Пропускать неопределенные и пустые значения","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\SkipNullOrEmptyValues",
"Caption","Message Template Skip Null Or Empty Values","Шаблон сообщения о Пропуске неопределенных и пустых значений","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\MessageTemplateSkipNullOrEmptyValues",
"Caption","Message Template Target Does Not Satisfy Target Criteria","Шаблон сообщения о несоответствии цели критерию","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\MessageTemplateTargetDoesNotSatisfyTargetCriteria",
"Caption","Target Criteria","Целевой критерий","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\TargetCriteria",
"Caption","IRule Collection Property Properties","Параметры свойства коллекции IRule","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties",
"Caption","Target Collection Owner Type","Тип владельца целевой коллекции","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\TargetCollectionOwnerType",
"Caption","Target Collection Property Name","Имя свойства целевой коллекции","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\TargetCollectionPropertyName",
"Caption","Message Template Target Does Not Satisfy Collection Criteria","Шаблон сообщения о несоответствии цели критерию коллекции","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\MessageTemplateTargetDoesNotSatisfyCollectionCriteria",
"Caption","Message Template Collection Validation Message Suffix","Шаблон суффикса сообщения о проверки коллекции","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\MessageTemplateCollectionValidationMessageSuffix",
"Caption","IRule Combination Of Properties Is Unique Properties","Свойства правила проверяющего уникальность комбинации свойств","BOModel\DevExpress.Persistent.Validation.IRuleCombinationOfPropertiesIsUniqueProperties",
"Caption","Target Properties","Целевые свойства","BOModel\DevExpress.Persistent.Validation.IRuleCombinationOfPropertiesIsUniqueProperties\OwnMembers\TargetProperties",
"Caption","Message Template Combination Of Properties Must Be Unique","Шаблон сообщения об уникальности комбинации свойств","BOModel\DevExpress.Persistent.Validation.IRuleCombinationOfPropertiesIsUniqueProperties\OwnMembers\MessageTemplateCombinationOfPropertiesMustBeUnique",
"Caption","IRule Criteria Properties","Свойства правила основанного на критерии","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties",
"Caption","Criteria","Критерий","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties\OwnMembers\Criteria",
"Caption","Message Template Must Satisfy Criteria","Шаблон сообщения о соответствии критерию","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties\OwnMembers\MessageTemplateMustSatisfyCriteria",
"Caption","Used Properties","Используемые свойства","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties\OwnMembers\UsedProperties",
"Caption","IRule From Bool Property Properties","Свойства правила проверяющего логическое значение","BOModel\DevExpress.Persistent.Validation.IRuleFromBoolPropertyProperties",
"Caption","Message Template Must Be True","Шаблон сообщения о том что логическое значение должно быть истинным","BOModel\DevExpress.Persistent.Validation.IRuleFromBoolPropertyProperties\OwnMembers\MessageTemplateMustBeTrue",
"Caption","Used Properties","Использованные свойства","BOModel\DevExpress.Persistent.Validation.IRuleFromBoolPropertyProperties\OwnMembers\UsedProperties",
"Caption","IRule Is Referenced Properties","Свойства правила проверяющего ссылочное свойство","BOModel\DevExpress.Persistent.Validation.IRuleIsReferencedProperties",
"Caption","Reference Property Name","Имя ссылочного свойства","BOModel\DevExpress.Persistent.Validation.IRuleIsReferencedProperties\OwnMembers\ReferencePropertyName",
