"Property Name",,"it-IT","Node Path","Description"
"Value","Invalid arguments list for function: '{0}.{1}'.  Cannot find the following parameters: ","Invalid arguments list for function: '{0}.{1}'.  Cannot find the following parameters: ","Localization\Controls\ServerLog\InvalidArgumentsList",
"Value","Module info:\r\n Name: {0};\r\nVersion: {1};\r\nIsMain: {2};\r\nAssembly file name: {3};","Module info:\r\n Name: {0};\r\nVersion: {1};\r\nIsMain: {2};\r\nAssembly file name: {3};","Localization\Controls\ServerLog\ModuleInfoText",
"Value","Object: ","Object: ","Localization\Controls\ServerLog\Object",
"Value","Objects: ","Objects: ","Localization\Controls\ServerLog\Objects",
"Value","Objects for delete:","Objects for delete:","Localization\Controls\ServerLog\ObjectsForDelete",
"Value","Objects for save:","Objects for save:","Localization\Controls\ServerLog\ObjectsForSave",
"Value","Object types: ","Object types: ","Localization\Controls\ServerLog\ObjectTypes",
"Value","Operation {0} was completed successfully.\r\nUserId: {1}. UserName {2}.","Operation {0} was completed successfully.\r\nUserId: {1}. UserName {2}.","Localization\Controls\ServerLog\OperationCompleted",
"Value","Operation {0} was failed.\r\n{1}","Operation {0} was failed.\r\n{1}","Localization\Controls\ServerLog\OperationFailed",
"Value","Operation {0} call has been received.","Operation {0} call has been received.","Localization\Controls\ServerLog\OperationRequest",
"Value","Operation Result: {0}","Operation Result: {0}","Localization\Controls\ServerLog\OperationResultTemplate",
"Value","Owner object:","Owner object:","Localization\Controls\ServerLog\OwnerObject",
"Value","Properties: ","Properties: ","Localization\Controls\ServerLog\Properties",
"Value","Property: ","Property: ","Localization\Controls\ServerLog\Property",
"Value","RefPropertyName: ","RefPropertyName: ","Localization\Controls\ServerLog\RefPropertyName",
"Value","Connection string for scheme '{0}' is not supported.","Connection string for scheme '{0}' is not supported.","Localization\Controls\ServerLog\SchemeIsNotSupported",
"Value","Starting the Application Server.","Starting the Application Server.","Localization\Controls\ServerLog\StartingAppServer",
"Value","ActionContainer","Contenitore Azioni","Localization\DashboardOrganizationItems\ActionContainer",
"Value","Image","Immagine","Localization\DashboardOrganizationItems\StaticImage",
"Value","Text","Testo","Localization\DashboardOrganizationItems\StaticText",
"Value","&Abort","&Termina","Localization\DialogButtons\Abort",
"Value","Add","Aggiungi","Localization\DialogButtons\Add",
"Value","Apply","Applica","Localization\DialogButtons\Apply",
"Value","< Back","< Indietro","Localization\DialogButtons\Back",
"Value","&Cancel","&Annulla","Localization\DialogButtons\Cancel",
"Value","C&lear","Pu&lisci","Localization\DialogButtons\Clear",
"Value","Close","Chiudi","Localization\DialogButtons\Close",
"Value","Find","Cerca","Localization\DialogButtons\Find",
"Value","&Ignore","&Ignora","Localization\DialogButtons\Ignore",
"Value","Next >","Avanti >","Localization\DialogButtons\Next",
"Value","&No","&No","Localization\DialogButtons\No",
"Value","&OK","&Ok","Localization\DialogButtons\OK",
"Value","Remove","Rimuovi","Localization\DialogButtons\Remove",
"Value","&Retry","&Riprova","Localization\DialogButtons\Retry",
"Value","&Yes","&Si","Localization\DialogButtons\Yes",
"Value","View Item Visibility","Visibilità Elemento Vista","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","Nascondi","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","Mostra","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","Mostra Spazio Vuoto","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,"Visibilità Elemento Cruscotto","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"Nascosto","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,"Visibile","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","Actions Toolbar Visibility","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","Default","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","Impossibile creare l'azione per il metodo '{0}' della classe '{1}'. I metodi delle Action devono essere non generici.","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","Impossibile creare l'azione per il metodo '{0}' della classe '{1}'. I metodi delle Action devono essere senza parametri.","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","L' ObjectSpace è già stato assegnato ad un'altra vista principale: '{0}'. Questo errore si verifica solo quando si tenta di assegnare un ObjectSpace che è già utilizzato da una vista principale ad un'altra vista principale. Per esempio, si può ricevere questo errore quando si utilizzando i metodi XafApplication.CreateDetailView/CreateListView in un ViewController passando l'oggetto View.ObjectSpace come parametro a questi metodi, quando la proprietà View.IsRoot è true.\r\nPer evitare questo errore, è sufficiente passare una nuova istanza di ObjectSpace creata tramite il metodo XafApplication.CreateObjectSpace o creare viste non principali passando un parametro corrispondente a questi metodi.\r\nSe questo non aiuta, si prega di contattare il nostro team di supporto all'indirizzo http://www.devexpress.com/Support/Center/.","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","Si è verificato un errore durante il caricamento del Model. Origine: '{0}'.","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","Si è verificato un errore durante l'elaborazione di un collegamento: '{0}'.","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","Si è verificato un errore, contesto: '{0}'.","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","Un oggetto non salvato non può essere visualizzato.","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","L'applicatione non è stata avviata.","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
