"Property Name",,"it-IT","Node Path","Description"
"Value","The value was locked","Il valore è stato bloccato.","Localization\Exceptions\SystemExceptions\TheValueWasLocked",
"Value","The '{0}' type doesn't contain the '{1}' member","Il tipo '{0}' non contiene il membro '{1}'.","Localization\Exceptions\SystemExceptions\TypeDoesNotContainTheMember",
"Value","The '{0}' type isn't a enum type","Il tipo '{0}' non è un tipo Enum.","Localization\Exceptions\SystemExceptions\TypeIsNotAEnum",
"Value","Unable to assign a disabled item. Action: {0}. Item: {1}. Disable reasons: {2}","Impossibile assegnare un elemento disabilitato. Action: '{0}'. Item: '{1}'. Motivi della disabilitazione: {2}.","Localization\Exceptions\SystemExceptions\UnableToAssignDisabledActionItem",
"Value","Unable to assign an invisible item. Action: {0}. Item: {1}. Invisible reasons: {2}","Impossibile assegnare un elemento invisibile. Action{0}. Item: {1}. ;Motivi invisibili: {2}.","Localization\Exceptions\SystemExceptions\UnableToAssignInvisibleActionItem",
"Value","Unable to cast object of type '{0}' to type '{1}'","Impossibile eseguire il cast di oggetti di tipo '{0}' nel tipo '{1}'.","Localization\Exceptions\SystemExceptions\UnableToCast",
"Value","Unable to change children of '{0}' node due it is locked.","Impossibile modificare i figli del nodo '{0}' perchè è bloccato.","Localization\Exceptions\SystemExceptions\UnableToChangeChildrenOfNodeDueItIsLocked",
"Value","Unable to change connection string. Already connected","Impossibile modificare la stringa di connessione. Già connesso.","Localization\Exceptions\SystemExceptions\UnableToChangeConnectionString",
"Value","Unable to change value of '{0}' attribute due it is locked","Impossibile modificare il valore dell'attributo '{0}' perchè è bloccato.","Localization\Exceptions\SystemExceptions\UnableToChangeValueOfAttributeDueItIsLocked",
"Value","Unable to create ObjectSpace. A dataLayer is null or connectionString is empty","Impossibile creare l'ObjectSpace. Il DataLayer è null o ConnectionString è vuota.","Localization\Exceptions\SystemExceptions\UnableToCreateObjectSpace",
"Value","Unable to create UpdatingSession. The dataLayer.AutoCreateOption is {0}","Impossibile creare l'UpdatingSession. Il valore di DataLayer.AutoCreateOption è '{0}'.","Localization\Exceptions\SystemExceptions\UnableToCreateUpdateSessionAutoCreateOption",
"Value","Unable to create UpdatingSession. A dataLayer is null or connectionString is empty","Impossibile creare UpdatingSession. Il DataLayer è null o ConnectionString è vuota.","Localization\Exceptions\SystemExceptions\UnableToCreateUpdateSessionDataLayerIsNull",
"Value","Unable to create UpdatingReadOnlySession. The dataLayer.AutoCreateOption is {0}","Impossibile creare l'UpdatingReadOnlySession. Il valore di DataLayer.AutoCreateOption è '{0}'.","Localization\Exceptions\SystemExceptions\UnableToCreateUpdatingReadonlySessionAutoCreateOption",
"Value","Unable to execute disabled or inactive action {2}. Disable reasons: {0}, inactive reasons: {1}","Impossibile eseguire l'Action disabilitate o inattiva {2}. Motivi della disabilitazione: {0}, motivi dell'inattività: {1}.","Localization\Exceptions\SystemExceptions\UnableToExecuteDisabledOrInactiveAction",
"Value","Unable to find a detail view for the '{0}' object type","Impossibile trovare una Detail View per il tipo di oggetto '{0}'.","Localization\Exceptions\SystemExceptions\UnableToFindADetailViewForType",
"Value","Unable to find a list view for the '{0}' object type","Impossibile trovare una List View per il tipo di oggetto '{0}'.","Localization\Exceptions\SystemExceptions\UnableToFindAListViewForType",
"Value","Unable to find property '{0}' in type '{1}'","Impossibile trovare la proprietà '{0}' nel tipo '{1}'.","Localization\Exceptions\SystemExceptions\UnableToFindPropertyInType",
"Value","Unable to find type '{0}'","Impossibile trovare il tipo '{0}'.","Localization\Exceptions\SystemExceptions\UnableToFindType",
"Value","Unable to initialize the {0} property in the {1} object, because this property is readonly, or the {2} type doesn't have a default constructor, or you don't have permissions to create it","Impossibile inizializzare la proprietà '{0}' dell'oggetto '{1}', perché questa proprietà è di sola lettura, o il tipo '{2}' non dispone di un costruttore predefinito o non si dispone delle autorizzazioni necessarie per crearlo.","Localization\Exceptions\SystemExceptions\UnableToInitializeFileDataProperty",
"Value","Unable to set the readonly property '{0}'","Impossibile impostare la proprietà di sola lettura '{0}'.","Localization\Exceptions\SystemExceptions\UnableToSetReadOnlyProperty",
"Value","Unknown exception occurs. Cannot retrieve the exception details","Si è verifica un'eccezione sconosciuta. Impossibile recuperare i dettagli sull'eccezione.","Localization\Exceptions\SystemExceptions\UnknownException",
"Value","Unknown value: '{0}'","Valore sconosciuto: '{0}'.","Localization\Exceptions\SystemExceptions\UnknownValue",
"Value","Unknown view node name: '{0}'\r\nAllowed names: '{1}', '{2}'","Nome del nodo di View sconosciuto: '{0}'\r\nNomi consentiti: '{1}', '{2}'.","Localization\Exceptions\SystemExceptions\UnknownViewNodeName",
"Value","The {0} collection property of the {1} class does not have an associated member in the target object class {2}","La proprietà collection {0} della classe {1} non ha un membro associato nella classe dell'oggetto di destinazione (2).","Localization\Exceptions\SystemExceptions\ValidationCannotFindTheAssociatedMemberInTargetClassForCollectionProperty",
"Value","Cannot check the '{0}' validation rule that is using the '{1}' property because this property doesn't exist in the target '{2}' class","Il modello del messaggio di convalida ha un formato non valido: '{0}'.","Localization\Exceptions\SystemExceptions\ValidationCannotFindThePropertyWithinTheClass",
"Value","Validation message template has an invalid format: '{0}'","Il modello del messaggio di convalida ha un formato non valido: '{0}'.","Localization\Exceptions\SystemExceptions\ValidationMessageTemplateHasInvalidFormat",
"Value","The '{1}' value cannot be stored into the '{0}' property","Il valore '{1}' non può essere memorizzato nella proprietà '{0}'.","Localization\Exceptions\SystemExceptions\ValueCannotBeStoredIntoTheProperty",
"Value","The window was not found by id '{0}'. Registered windows: '{1}'","Finestra con Id '{0}' non trovata. Finestre registrate: '{1}'.","Localization\Exceptions\SystemExceptions\WindowWasNotFound",
"Value","The XPDictionary is null","XPDictionary è null.","Localization\Exceptions\SystemExceptions\XPDictionaryIsNull",
"Value","You cannot change the current aspect. It depends on the culture of the current thread","Non è possibile modificare l'aspetto attuale. Dipende dalla cultura del thread corrente.","Localization\Exceptions\SystemExceptions\YouCannotChangeCurrentAspect",
"Value","Cannot register the '{0}' Action in the '{1}' Action Container. The '{0}' Action is not of the '{2}' Type.","Impossibile registrare l'azione '{0}' nel contenitore di azione '{1}'. L'azione '{0}' non è di tipo '{2}'.","Localization\Exceptions\UserVisibleExceptions\ActionIsNotSingleChoiceAction",
"Value","The update has been successfully completed. However, the database version is still greater than the application version. Please contact your system administrator.","L'aggiornamento è stato completato con successo. Tuttavia, la versione del database è ancora maggiore della versione dell'applicazione. Si prega di contattare l'amministratore di sistema.","Localization\Exceptions\UserVisibleExceptions\ApplicationUpdateError",
"Value","This operation cannot be completed, because it leads to a circular reference.","Questa operazione non può essere completata, perché conduce a un riferimento circolare.","Localization\Exceptions\UserVisibleExceptions\CircularReference",
"Value","Please specify the object type for which you want to construct a criterion.","Si prega di specificare il tipo di oggetto per il quale si desidera creare un criterio.","Localization\Exceptions\UserVisibleExceptions\CriteriaEditorsDataTypeIsNull",
"Value","The length of this field value cannot exceed {0}","La lunghezza del valore di questo campo non può superare '{0}'.","Localization\Exceptions\UserVisibleExceptions\FieldValueSizeExceedsMaxLength",
"Value","After three unsuccessful login attempts, the application will now be closed. Please consider contacting an administrator about your login details.","Dopo tre tentativi di accesso non riuscito, la volontà l'applicazione verrà chiusa. Si prega di contattare un amministratore per i dettagli di accesso.","Localization\Exceptions\UserVisibleExceptions\LogonAttemptsAmountedToLimitWin",
"Value","Input missing symbols","Simboli mancanti nell'immissione.","Localization\Exceptions\UserVisibleExceptions\MaskValidationErrorMessage",
"Value",,"Attenzione","Localization\Exceptions\UserVisibleExceptions\MessageWarningTitle",
"Value","The 'Object Type' field must not be empty and at least one access field must have a value that differs from None.","Il campo 'Tipo oggetto' non deve essere vuoto e almeno almeno un campo di accesso deve avere un valore diverso da Nessuno.","Localization\Exceptions\UserVisibleExceptions\ObjectAccessPermissionCannotBeEmpty",
"Value","The object you are trying to save was changed by another user. Please refresh data.","L'oggetto che si sta tentando di salvare è stato modificato da un altro utente. Si prega di aggiornare dati.","Localization\Exceptions\UserVisibleExceptions\ObjectToSaveWasChanged",
"Value","Data is displayed in read-only mode because it has been deleted.","L'oggetto è visualizzato in modalità di sola lettura perché è stato eliminato.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectHasBeenDeleted",
"Value","Requested object is not found and cannot be processed.","L' oggetto richiesto non viene trovato e non può essere elaborato.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectIsNotFound",
"Value","Warning: simultaneous modifications of the same information in different windows/views are detected:\n
{0}\n
It will be possible to save modifications in one window/view only.","Avviso: sono state rilevate modifiche simultanee delle stesse informazioni in diverse finestre/visualizzazioni:\n
'{0}'\n
Sarà possibile salvare le modifiche in una sola finestra/vista.","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessage",
"Value"," - '{0}' window/view ({1}), '{2}' object ({3})","- '{0}' finestra/vista ('{1}'), '{2}' oggetto ('{3}').","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessageItem",
"Value","An error with number {0} has occurred.\r\nError message: {1}","Si è verificato un errore con numero '{0}'.\r\nMessaggio di errore: '{1}'.","Localization\Exceptions\UserVisibleExceptions\SystemExceptionMessageFormat",
"Value","The following error occurred:","Si è verificato il seguente errore:","Localization\Exceptions\UserVisibleExceptions\TheFollowingErrorOccurred",
"Value","The connection to the database failed. Please contact your system administrator.","Impossibile connettersi al database. Si prega di contattare l'amministratore di sistema.","Localization\Exceptions\UserVisibleExceptions\UserFriendlyConnectionFailedException",
"Value","An error has occurred connecting to the database. Please contact your system administrator.","Si è verificato un errore durante la connessione al database. Si prega di contattare l'amministratore di sistema.","Localization\Exceptions\UserVisibleExceptions\UserFriendlySqlException",
"Value","User: {0}","Utente: {0}","Localization\Messages\User",
"Value","Error","Errore","Localization\Texts\Error",
"Value","N/A","N/A","Localization\Texts\NullValueText",
"Value","Warning","Attenzione","Localization\Texts\Warning",
"Caption","About","Informazioni","Views\AboutInfo_DetailView",
"Text","{0:ProductName}<br>{0:Version}<br>{0:Copyright}<br>{0:Description}","{0:ProductName}<br>{0:Version}<br><br>{0:Copyright}<br><br>{0:Description}","Views\AboutInfo_DetailView\Items\AboutText",
"Caption","About...","About...","ActionDesign\Actions\About Info",
"Caption","Choose Skin","Modifica Skin","ActionDesign\Actions\ChooseSkin",
"Caption","Close","Chiudi","ActionDesign\Actions\Close",
"Caption","Edit Model","Modifica Modello","ActionDesign\Actions\EditModel",
"Caption","Exit","Esci","ActionDesign\Actions\Exit",
"Caption","Copy Cell Value","Copia Valore Cella","ActionDesign\Actions\CopyCellValue",
"Caption","Clear","Pulisci","ActionDesign\Actions\Clear",
"Caption","Open Record","Visualizza Dettagli","ActionDesign\Actions\OpenObject",
"ToolTip","Open the record associated with the focused editor","Apre la maschera con i dettagli del record selezionato.","ActionDesign\Actions\OpenObject",
"Caption","Show Toolbar","Show Toolbar","ActionDesign\Actions\ShowToolbar",
"Caption","Export Analysis to","Esporta Analisi in","ActionDesign\Actions\ExportAnalysis",
"Caption","Export to","Esporta in","ActionDesign\Actions\Export",
"Caption","Page Setup...","Imposta Pagina...","ActionDesign\Actions\PageSetup",
"ToolTip","Page Setup","Apre una finestra di dialogo in cui è possibile modificare le impostazioni di stampa.","ActionDesign\Actions\PageSetup",
"Caption","Print...","Stampa...","ActionDesign\Actions\Print",
"ToolTip","Print Dialog","Apre una finestra di dialogo in cui è possibile scegliere la stampante e le pagine da stampare.","ActionDesign\Actions\Print",
"Caption","Print Preview...","Anteprima di Stampa....","ActionDesign\Actions\PrintPreview",
"ToolTip","Print Preview","Consente di visualizzare l'anteprima e apportare delle modifiche alle pagine prima della stampa.","ActionDesign\Actions\PrintPreview",
"Value","Filter Builder","Generatore Filtro","Localization\Captions\FilterBuilder",
"Value","Object Model","Modello Oggetti","Localization\Captions\ObjectModel",
"Value","Do you want to cancel your changes?","Si desidera annullare le modifiche?","Localization\Confirmations\Cancel",
"Value","Closing this window causes an error. Do you want to close the window anyway?\r\nWarning: if you click 'Yes', all changes will be lost.","La chiusura di questa finestra ha causato un errore. Si desidera chiudere la finestra comunque?\r\nAttenzione: se si fa clic su Sà¬, tutte le modifiche verranno perse.","Localization\Confirmations\ConfirmForcedCloseWindow",
"Value","Do you want to save changes?","Si desidera salvare le modifiche?","Localization\Confirmations\Save",
"Value","Find Text:","Cerca Testo:","Localization\Controls\LargeStringEditFindForm\FindLabelText",
"Value","Find","Cerca","Localization\Controls\LargeStringEditFindForm\FindMenuItemText",
"Value","Find Next","Cerca Successivo","Localization\Controls\LargeStringEditFindForm\FindNextButtonText",
"Value","Find","Cerca","Localization\Controls\LargeStringEditFindForm\FormText",
"Value","Auto Hide","Nascondi Automaticamente","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\AutoHide",
"Value","Hidden","Nascosto","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Hidden",
"Value","Visible","Visibile","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Visible",
"Value","Main Menu","Menù Principale","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_mainMenuBar.Text",
"Value","Status Bar","Barra di Stato","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_statusBar.Text",
"Value","Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemEdit.Caption",
"Value","File","File","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemFile.Caption",
"Value","Help","Aiuto","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemHelp.Caption",
"Value","Tools","Strumenti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemTools.Caption",
"Value","View","Visualizza","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemView.Caption",
"Value","About","Informazioni","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cAbout.Caption",
"Value","Close","Chiudi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cClose.Caption",
"Value","Diagnostic","Diagnostica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cDiagnostic.Caption",
"Value","Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cEdit.Caption",
"Value","Export","Esporta","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cExport.Caption",
"Value","File","File","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFile.Caption",
"Value","Filters","Filtri","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFilters.Caption",
"Value","Full Text Search","Ricerca Full-Text","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFullTextSearch.Caption",
"Value","Menu","Menù","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cMenu.Caption",
"Value","Records Creation","Creazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cObjectsCreation.Caption",
"Value","Open Record","Visualizza Dettagli","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOpenObject.Caption",
"Value","Options","Opzioni","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOptions.Caption",
"Value","Print","Stampa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cPrint.Caption",
"Value","Record Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordEdit.Caption",
"Value","Records Navigation","Navigazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordsNavigation.Caption",
"Value","Reports","Report","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.Caption",
"Value","View","Visualizza","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.TargetPageGroupCaption",
"Value","Save","Salva","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSave.Caption",
"Value","Search","Cerca","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSearch.Caption",
"Value","Tools","Strumenti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cTools.Caption",
"Value","UndoRedo","Annulla Ripeti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.Caption",
"Value","Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Visualizza","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cWorkflow.Caption",
"Value","Main Toolbar","Barra degli Strumenti Principale","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\standardToolBar.Text",
"Value","Available records:","Records Disponibili:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\AvailableRecords.Text",
"Value","Find:","Cerca:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\searchActionContainerLayoutItem.Text",
"Value","Type:","Tipo:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\typeValueLayoutItem.Text",
"Value","Main Menu","Menù Principale","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_mainMenuBar.Text",
"Value","Status Bar","Barra di Stato","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_statusBar.Text",
"Value","Window List","Elenco Finestre","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barMdiChildrenListItem.Caption",
"Value","Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemEdit.Caption",
"Value","File","File","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemFile.Caption",
"Value","Help","Aiuto","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemHelp.Caption",
"Value","Panels","Pannelli","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemPanels.Caption",
"Value","Tools","Strumenti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemTools.Caption",
"Value","View","Visualizza","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemView.Caption",
"Value","Window","Finestra","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemWindow.Caption",
"Value","About","Informazioni","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAbout.Caption",
"Value","Appearance","Aspetto","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAppearance.Caption",
"Value","Default","Predefinito","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDefault.Caption",
"Value","Diagnostic","Diagnostica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDiagnostic.Caption",
"Value","Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cEdit.Caption",
"Value","Exit","Uscita","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExit.Caption",
"Value","Export","Esporta","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExport.Caption",
"Value","File","File","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFile.Caption",
"Value","Filters","Filtri","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFilters.Caption",
"Value","Full Text Search","Ricerca Full-Text","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFullTextSearch.Caption",
"Value","Menu","Menù","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cMenu.Caption",
"Value","Records Creation","Creazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cObjectsCreation.Caption",
"Value","Open Record","Visualizza Dettagli","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOpenObject.Caption",
"Value","Options","Opzioni","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOptions.Caption",
"Value","Panels","Pannelli","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.Caption",
"Value","View","Vista","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.TargetPageCaption",
"Value","Print","Stampa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPrint.Caption",
"Value","Record Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordEdit.Caption",
"Value","Records Navigation","Navigazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordsNavigation.Caption",
"Value","Reports","Report","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.Caption",
"Value","View","Vista","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.TargetPageGroupCaption",
"Value","Save","Salva","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSave.Caption",
"Value","Search","Cerca","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSearch.Caption",
"Value","Tools","Strumenti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cTools.Caption",
"Value","UndoRedo","Annulla Ripeti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.Caption",
"Value","Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Visualizza","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cView.Caption",
"Value","Views History Navigation","Storico Visualizzazioni","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsHistoryNavigation.Caption",
"Value","Navigation","Navigazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsNavigation.Caption",
"Value","Windows","Finestre","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.Caption",
"Value","View","Vista","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.TargetPageCaption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWorkflow.Caption",
"Value","Navigation","Navigazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\dockPanelNavigation.Text",
"Value","Main Toolbar","Barra degli Strumenti Principale","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\standardToolBar.Text",
"Value","Window","Finestra","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.Caption",
"Value","View","Vista","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageCaption",
"Value","Windows","Finestre","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageGroupCaption",
"Value","Other","Altro","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDefault.Caption",
"Value","Diagnostic","Diagnostica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDiagnostic.Caption",
"Value","Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cEdit.Caption",
"Value","Export","Esporta","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cExport.Caption",
"Value","Filters","Filtri","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cFilters.Caption",
"Value","Link","Collega","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cLink.Caption",
"Value","Menu","Menù","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cMenu.Caption",
"Value","Records Creation","Creazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cObjectsCreation.Caption",
"Value","Open Record","Visualizza Dettagli","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cOpenObject.Caption",
"Value","Print","Stampa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cPrint.Caption",
"Value","Record Edit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordEdit.Caption",
"Value","Records Navigation","Navigazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordsNavigation.Caption",
"Value","Reports","Report","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cReports.Caption",
"Value","Save","Salva","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cSave.Caption",
"Value","View","Visualizza","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cWorkflow.Caption",
"Value","Toolbar","Barra degli Stumenti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\standardToolBar.Text",
"Value","cEdit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cEdit.Caption",
"Value","cExport","Esporta","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cExport.Caption",
"Value","cObjectsCreation","Creazione","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cObjectsCreation.Caption",
"Value","cOpenObject","Visualizza Dettagli","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cOpenObject.Caption",
"Value","cPrint","Stampa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cPrint.Caption",
"Value","cRecordEdit","Modifica","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cRecordEdit.Caption",
"Value","cUndoRedo","Annulla Ripeti","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cUndoRedo.Caption",
"Value","cView","Visualizza","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cView.Caption",
"Value","emptySpaceItem2","elementoVuoto2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.CustomizationFormText",
"Value","emptySpaceItem2","elementoVuoto2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.Text",
"Value","layoutControlGroup1","gruppoControlliLayout1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.CustomizationFormText",
"Value","Root","Radice","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.Text",
"Value","layoutControlItem1","elementoControlloLayout1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.CustomizationFormText",
"Value","layoutControlItem1","elementoControlloLayout1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.Text",
