"Property Name",,"hr","Node Path","Description"
"Value","Tools","Alati","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemTools.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemView.Caption",
"Value","About","O programu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cAbout.Caption",
"Value","Close","Zatvori","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cClose.Caption",
"Value","Diagnostic","Dijagnostika","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cDiagnostic.Caption",
"Value","Edit","Izmjena","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cEdit.Caption",
"Value","Export","Izvoz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cExport.Caption",
"Value","File","Datoteka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFile.Caption",
"Value","Filters","Filteri","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFilters.Caption",
"Value","Full Text Search","Full Text' pretraga","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFullTextSearch.Caption",
"Value","Menu","Izbornik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cMenu.Caption",
"Value","Records Creation","Kreiranje objekata","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cObjectsCreation.Caption",
"Value","Open Record","Otvori objekt","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOpenObject.Caption",
"Value","Options","Opcije","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOptions.Caption",
"Value","Print","Ispis","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cPrint.Caption",
"Value","Record Edit","Izmjene zapisa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordEdit.Caption",
"Value","Records Navigation","Navigacija zapisa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordsNavigation.Caption",
"Value","Reports","Izvještaji","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.TargetPageGroupCaption",
"Value","Save","Snimi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSave.Caption",
"Value","Search","Traži","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSearch.Caption",
"Value","Tools","Alati","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cTools.Caption",
"Value","UndoRedo","PoništiVrati","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.Caption",
"Value","Edit","Izmjena","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cView.Caption",
"Value","Workflow","Radni slijed","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cWorkflow.Caption",
"Value","Main Toolbar","Glavna alatna traka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\standardToolBar.Text",
"Value","Available records:","Dostupni zapisi:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\AvailableRecords.Text",
"Value","Find:","Pronađi:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\searchActionContainerLayoutItem.Text",
"Value","Type:","Tip:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\typeValueLayoutItem.Text",
"Value","Main Menu","Glavni izbornik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_mainMenuBar.Text",
"Value","Status Bar","Traka statusa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_statusBar.Text",
"Value","Window List","Popis prozora","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barMdiChildrenListItem.Caption",
"Value","Edit","Izmjene","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemEdit.Caption",
"Value","File","Datoteka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemFile.Caption",
"Value","Help","Pomoć","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemHelp.Caption",
"Value","Panels","Ploče","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemPanels.Caption",
"Value","Tools","Alati","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemTools.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemView.Caption",
"Value","Window","Prozori","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemWindow.Caption",
"Value","About","O programu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAbout.Caption",
"Value","Appearance","Izgled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAppearance.Caption",
"Value","Default","Zadano","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDefault.Caption",
"Value","Diagnostic","Dijagnostika","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDiagnostic.Caption",
"Value","Edit","Izmjena","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cEdit.Caption",
"Value","Exit","Izlaz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExit.Caption",
"Value","Export","Izvoz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExport.Caption",
"Value","File","Datoteka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFile.Caption",
"Value","Filters","Filteri","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFilters.Caption",
"Value","Full Text Search","Full Text' pretraga","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFullTextSearch.Caption",
"Value","Menu","Izbornik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cMenu.Caption",
"Value","Records Creation","Kreiranje objekata","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cObjectsCreation.Caption",
"Value","Open Record","Otvori objekt","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOpenObject.Caption",
"Value","Options","Opcije","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOptions.Caption",
"Value","Panels","Ploče","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.TargetPageCaption",
"Value","Print","Ispis","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPrint.Caption",
"Value","Record Edit","Izmjena zapisa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordEdit.Caption",
"Value","Records Navigation","Navigacija zapisa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordsNavigation.Caption",
"Value","Reports","Izvještaji","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.TargetPageGroupCaption",
"Value","Save","Snimi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSave.Caption",
"Value","Search","Pretraži","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSearch.Caption",
"Value","Tools","Alati","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cTools.Caption",
"Value","UndoRedo","PoništiVrati","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.Caption",
"Value","Edit","Izmjena","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cView.Caption",
"Value","Views History Navigation","Povijest navigacije pogleda","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsHistoryNavigation.Caption",
"Value","Navigation","Navigacija","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsNavigation.Caption",
"Value","Windows","Prozori","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.TargetPageCaption",
"Value","Workflow","Radni slijed","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWorkflow.Caption",
"Value","Navigation","Navigacija","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\dockPanelNavigation.Text",
"Value","Main Toolbar","Glavni izbornik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\standardToolBar.Text",
"Value","Window","Prozor","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageCaption",
"Value","Windows","Prozori","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageGroupCaption",
"Value","Other","Ostalo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDefault.Caption",
"Value","Diagnostic","Dijagnostika","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDiagnostic.Caption",
"Value","Edit","Izmjena","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cEdit.Caption",
"Value","Export","Izvoz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cExport.Caption",
"Value","Filters","Filteri","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cFilters.Caption",
"Value","Link","Spoji","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cLink.Caption",
"Value","Menu","Izbornik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cMenu.Caption",
"Value","Records Creation","Kreiranje objekata","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cObjectsCreation.Caption",
"Value","Open Record","Otvori objekt","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cOpenObject.Caption",
"Value","Print","Ispis","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cPrint.Caption",
"Value","Record Edit","Izmjena zapisa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordEdit.Caption",
"Value","Records Navigation","Navigacija zapisa","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordsNavigation.Caption",
"Value","Reports","Izvještaji","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cReports.Caption",
"Value","Save","Snimi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cSave.Caption",
"Value","View","Pregled","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cView.Caption",
"Value","Workflow","Radni slijed","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cWorkflow.Caption",
"Value","Toolbar","Alatna traka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\standardToolBar.Text",
"Value","cEdit","cEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cEdit.Caption",
"Value","cExport","cExport","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cExport.Caption",
"Value","cObjectsCreation","cObjectsCreation","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cObjectsCreation.Caption",
"Value","cOpenObject","cOpenObject","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cOpenObject.Caption",
"Value","cPrint","cPrint","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cPrint.Caption",
"Value","cRecordEdit","cRecordEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cRecordEdit.Caption",
"Value","cUndoRedo","cUndoRedo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cUndoRedo.Caption",
"Value","cView","cView","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cView.Caption",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.CustomizationFormText",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.Text",
"Value","layoutControlGroup1","layoutControlGroup1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.CustomizationFormText",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.Text",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.CustomizationFormText",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.Text",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.CustomizationFormText",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.Text",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.CustomizationFormText",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.Text",
"Value","Unable to save customization information:\n{0}","Ne mogu snimiti prilagođene informacije:\n{0}","Localization\Messages\UnableToSaveCustomization",
"Value","Actions","Akcije","Localization\Ribbon\ActionsPageGroup",
"Value","Home","Početak","Localization\Ribbon\HomePage",
"Value","Aggregate operations","Zbirne operacije","Localization\Texts\Aggregates",
"Value","Avg(Field)\r\nEvaluates an average of all values in a collection.","Prosjek(Polje)\r\nVraća prosječnu vrijednost u kolekciji.","Localization\Texts\AggregatesAvgDescription",
"Value","Count\r\nReturns the number of objects in a collection.","Prebroji\r\nVraća broj objekata u kolekciji.","Localization\Texts\AggregatesCountDescription",
"Value","Max(Field)\r\nReturns the maximum expression value in a collection.","Max(Polje)\r\nVraća najveću vrijednost izraza u kolekciji","Localization\Texts\AggregatesMaxDescription",
"Value","Min(Field)\r\nReturns the minimum expression value in a collection.","Min(Polje)\r\nVraća najmanju vrijednost izraza u kolekciji","Localization\Texts\AggregatesMinDescription",
"Value","Sum(Field)\r\nReturns a sum of all expression values in a collection.","Sum(Polje)\r\nVraća zbroj svih vrijednosti izraza u kolekciji","Localization\Texts\AggregatesSumDescription",
"Caption","Choose Theme","Odaberite temu","ActionDesign\Actions\ChooseTheme",
"Caption","Edit","Izmjena","ActionDesign\Actions\Edit",
"Caption","Inline Edit","Izmjena u retku","ActionDesign\Actions\InlineEdit",
"Caption","Edit","Izmjena","ActionDesign\Actions\SwitchToEditMode",
"Caption","Quick create","Brzo kreiranje","ActionDesign\Actions\QuickCreateAction",
"Caption","Navigate To","Navigiraj do","ActionDesign\Actions\NavigateTo",
"Caption","Logon Attempts Amounted To Limit","Dosegli ste maksimalan broj pokušaja prijave","BOModel\DevExpress.ExpressApp.Web.LogonAttemptsAmountedToLimit",
"Caption","Parameterless Logon Failed Info","Informacija o neuspjeloj prijavi bez parametara","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo",
"Caption","Message","Poruka","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo\OwnMembers\Message",
"Value","Clear","Clear","Localization\ASPxImagePropertyEditor\Clear",
"Value","Edit","Edit","Localization\ASPxImagePropertyEditor\Edit",
"Value","<enter a value>","<upišite vrijednost>","Localization\Controls\ASPxCriteriaEdit\EnterValueText",
"Value","All","Svi","Localization\Controls\DevExpress.ASPxGridView\PageSizeAllRecords",
"Value","Items per page:","Zapisa po stranici:","Localization\Controls\DevExpress.ASPxGridView\PageSizeCaption",
"Value","Hide image","Sakrij sliku","Localization\Controls\DropDownImageEdit\HideImage",
"Value","Image","Slika","Localization\Controls\DropDownImageEdit\PopupHeader",
"Value","Show image","Prikaži sliku","Localization\Controls\DropDownImageEdit\ShowImage",
"Value","There are no records to display.","Nema zapisa za prikazati.","Localization\Messages\ThereAreNoRecordsToDisplay",
"Caption","Log On","Prijava","Views\LogonAttemptsAmountedToLimit_DetailView",
"Text","After three unsuccessful login attempts, the browser should be closed. Please consider contacting an administrator about your login details.","Nekon tri neuspješna pokušaja prijave, trebali bi zatvoriti preglednik. Molimo kontaktirajte administratora glede Vaših podataka za prijavu.","Views\LogonAttemptsAmountedToLimit_DetailView\Items\LogonText",
"Caption","Log On","Prijava","Views\ParameterlessLogonFailedInfo_DefaultDetailView",
"Text","{0} Please consider contacting an administrator about your login details.","{0} Molimo kontaktirajte administratora glede Vaših podataka za prijavu.","Views\ParameterlessLogonFailedInfo_DefaultDetailView\Items\Message",
"Value","Blob data","Blob' podaci","Localization\AuditTrail\BlobDataString",
"Value","N/A","N/A","Localization\AuditTrail\NullValueString",
"Caption","Validate","Provjeri","ActionDesign\Actions\ShowAllContexts",
"ToolTip","Validate selected object(s) in all presented contexts","Provjeri odabrane objekte u svim predstavljenim kontekstima","ActionDesign\Actions\ShowAllContexts",
"Caption","Context Validation Result","Rezultati provjere konteksta","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult",
"Caption","Context","Kontekst","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\Context",
"Caption","State","Stanje","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\State",
"Caption","Broken Rules","Neispravna pravila","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\BrokenRules",
"Caption","Displayable Validation Result Items","Prikazujuće stavke rezultata provjere","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\DisplayableValidationResultItems",
"Caption","Validation Details","Detalji validacije","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem",
"Caption","Rule Name","Naziv pravila","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleName",
"Caption","Context Caption","Naslov konteksta","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextCaption",
"Caption","Context Id","Id konteksta","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextId",
"Caption","Rule","Pravilo","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\Rule",
"Caption","State","Stanje","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\State",
"Caption","Error Message","Poruka greške","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ErrorMessage",
"Caption","Target","Cilj","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\TargetCaption",
"Caption","Rule Properties","Svojstva pravila","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleProperties",
"Caption","Validation Results","Rezultati provjere","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults",
"Caption","Results","Rezultati","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\Results",
"Caption","Highlight Errors","Posvijetli greške","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\HighlightErrors",
"Caption","Displayable Validation Result Items","Prikazujuće stavke rezultata provjere","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\DisplayableValidationResultItems",
"Caption","IRule Base Properties","IRule Base Properties","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties",
"Caption","Id","Id","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\Id",
"Caption","Name","Naziv","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\Name",
"Caption","Custom Message Template","Predložak za korisničke poruke","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\CustomMessageTemplate",
"Caption","Target Type","Target Type","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\TargetType",
"Caption","Target Context IDs","Target Context IDs","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\TargetContextIDs",
"Caption","Invert Result","Izokreni rezultate","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\InvertResult",
"Caption","Skip Null Or Empty Values","Skip Null ili Empty Values","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\SkipNullOrEmptyValues",
"Caption","Message Template Skip Null Or Empty Values","Predložak poruke Skip Null ili Empty Values","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\MessageTemplateSkipNullOrEmptyValues",
"Caption","Message Template Target Does Not Satisfy Target Criteria","Predložak poruke Target Does Not Satisfy Target Criteria","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\MessageTemplateTargetDoesNotSatisfyTargetCriteria",
"Caption","Target Criteria","Target Criteria","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\TargetCriteria",
"Caption","IRule Collection Property Properties","IRule Collection Property Properties","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties",
"Caption","Target Collection Owner Type","Target Collection Owner Type","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\TargetCollectionOwnerType",
"Caption","Target Collection Property Name","Target Collection Property Name","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\TargetCollectionPropertyName",
"Caption","Message Template Target Does Not Satisfy Collection Criteria","Message Template Target Does Not Satisfy Collection Criteria","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\MessageTemplateTargetDoesNotSatisfyCollectionCriteria",
"Caption","Message Template Collection Validation Message Suffix","Message Template Collection Validation Message Suffix","BOModel\DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties\OwnMembers\MessageTemplateCollectionValidationMessageSuffix",
"Caption","IRule Combination Of Properties Is Unique Properties","IRule Combination Of Properties Is Unique Properties","BOModel\DevExpress.Persistent.Validation.IRuleCombinationOfPropertiesIsUniqueProperties",
"Caption","Target Properties","Target Properties","BOModel\DevExpress.Persistent.Validation.IRuleCombinationOfPropertiesIsUniqueProperties\OwnMembers\TargetProperties",
"Caption","Message Template Combination Of Properties Must Be Unique","Message Template Combination Of Properties Must Be Unique","BOModel\DevExpress.Persistent.Validation.IRuleCombinationOfPropertiesIsUniqueProperties\OwnMembers\MessageTemplateCombinationOfPropertiesMustBeUnique",
"Caption","IRule Criteria Properties","IRule Criteria Properties","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties",
"Caption","Criteria","Criteria","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties\OwnMembers\Criteria",
"Caption","Message Template Must Satisfy Criteria","Message Template Must Satisfy Criteria","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties\OwnMembers\MessageTemplateMustSatisfyCriteria",
"Caption","Used Properties","Used Properties","BOModel\DevExpress.Persistent.Validation.IRuleCriteriaProperties\OwnMembers\UsedProperties",
"Caption","IRule From Bool Property Properties","IRule From Bool Property Properties","BOModel\DevExpress.Persistent.Validation.IRuleFromBoolPropertyProperties",
"Caption","Message Template Must Be True","Message Template Must Be True","BOModel\DevExpress.Persistent.Validation.IRuleFromBoolPropertyProperties\OwnMembers\MessageTemplateMustBeTrue",
"Caption","Used Properties","Korištena svojstva","BOModel\DevExpress.Persistent.Validation.IRuleFromBoolPropertyProperties\OwnMembers\UsedProperties",
"Caption","IRule Is Referenced Properties","IRule Is Referenced Properties","BOModel\DevExpress.Persistent.Validation.IRuleIsReferencedProperties",
"Caption","Reference Property Name","Reference Property Name","BOModel\DevExpress.Persistent.Validation.IRuleIsReferencedProperties\OwnMembers\ReferencePropertyName",
"Caption","Looks For","Traži","BOModel\DevExpress.Persistent.Validation.IRuleIsReferencedProperties\OwnMembers\LooksFor",
"Caption","Message Template Must Be Referenced","Message Template Must Be Referenced","BOModel\DevExpress.Persistent.Validation.IRuleIsReferencedProperties\OwnMembers\MessageTemplateMustBeReferenced",
"Caption","IRule Object Exists Properties","IRule Object Exists Properties","BOModel\DevExpress.Persistent.Validation.IRuleObjectExistsProperties",
"Caption","Criteria","Criteria","BOModel\DevExpress.Persistent.Validation.IRuleObjectExistsProperties\OwnMembers\Criteria",
"Caption","Looks For","ooks For","BOModel\DevExpress.Persistent.Validation.IRuleObjectExistsProperties\OwnMembers\LooksFor",
"Caption","Message Template Must Exist","Message Template Must Exist","BOModel\DevExpress.Persistent.Validation.IRuleObjectExistsProperties\OwnMembers\MessageTemplateMustExist",
"Caption","IRule Property Value Properties","IRule Property Value Properties","BOModel\DevExpress.Persistent.Validation.IRulePropertyValueProperties",
"Caption","Target Property Name","Target Property Name","BOModel\DevExpress.Persistent.Validation.IRulePropertyValueProperties\OwnMembers\TargetPropertyName",
"Caption","IRule Range Properties","IRule Range Properties","BOModel\DevExpress.Persistent.Validation.IRuleRangeProperties",
"Caption","Minimum Value","Najmanja vrijednost","BOModel\DevExpress.Persistent.Validation.IRuleRangeProperties\OwnMembers\MinimumValue",
"Caption","Minimum Value Expression","Izraz za najmanju vrijednost","BOModel\DevExpress.Persistent.Validation.IRuleRangeProperties\OwnMembers\MinimumValueExpression",
"Caption","Maximum Value","Najveća vrijednost","BOModel\DevExpress.Persistent.Validation.IRuleRangeProperties\OwnMembers\MaximumValue",
"Caption","Maximum Value Expression","Izraz za najveću vrijednost","BOModel\DevExpress.Persistent.Validation.IRuleRangeProperties\OwnMembers\MaximumValueExpression",
"Caption","Message Template Must Be In Range","Message Template Must Be In Range","BOModel\DevExpress.Persistent.Validation.IRuleRangeProperties\OwnMembers\MessageTemplateMustBeInRange",
"Caption","IRule Regular Expression Properties","IRule Regular Expression Properties","BOModel\DevExpress.Persistent.Validation.IRuleRegularExpressionProperties",
"Caption","Pattern","Pattern","BOModel\DevExpress.Persistent.Validation.IRuleRegularExpressionProperties\OwnMembers\Pattern",
